,album titles,artists,review titles,reviews
175,I Remember,AlunaGeorge(알루나조지),"영국 혼성 듀오, 알루나조지의 한방! [I Remember]","벅스가 선정한 2016년 10월 이달의 앨범 선정 작품. 지난 몇 년간 전자 음악에 관심 있었던 이라면 영국 혼성 듀오 알루나조지(AlunaGeorge)란 이름이 낯설진 않을 것이다. 이번 신보가 나오기 전까지 이들은 겨우 한 장의 풀 랭스 앨범 [Body Music](2013)만을 내놨을 뿐인데, 3년의 세월이 지났음에도 이들의 이름을 널리 알려진 이유는 피처링 결과물이 많기 때문이다.

디스클로저(Disclosure)의 ‘White Noise’, 디제이 스네이크(DJ Snake)의 ‘You Know You Like It’ 등 잘 나가는 뮤지션에게서 팀의 이름을 찾는 건 익숙한 일이다. 이처럼 달라진 상황은 듀오의 신보 [I Remember]에도 많은 영향을 끼쳤다. 초창기 ‘협력’을 배제한 채 오직 둘만이 해결해낸 작업 방식은 수많은 동료가 생기면서 공동작업으로 노선이 바뀌었고, 덕분에 얌전한 비트로 귀를 사로잡았던 데뷔작과 달리, 새 앨범에서는 좀 더 빠른 비트 위에서 상상력이 전개된다.

이 중 선공개한 ‘I Remember’, ‘I’m in Control (feat. Popcaan)’보다 더 인상적인 곡은 ‘Mean What I Mean’이다. Leikeli47과 Dreezy가 펼쳐내는 래핑도 속도를 감지하기 좋지만, 일렉트로 비트 위에서 사정없이 뛰어대는 신시사이저 소리는 질주의 정점을 찍는다.

곡에 참여한 작곡가가 무려 여섯 명임에도 불구하고 노래가 가진 색깔은 더욱 확실해졌다고 할까. 알루나조지의 한방이 제대로 전달되는 곡이다."
176,Lingering,Sleep Party People,"지난 꿈 속에서 들었을 법한 배겸음악, 역대급 몽환 사운드!","만약 당신이 꿈을 꾸지 않는다면 지나치게 숙면을 취했기 때문이리라. 하지만 대부분의 사람들은 잠이 들면 여지없이 꿈을 꾼다. 기분 좋은 달콤한 꿈이거나 식은 땀을 흘리면서 깨어났던 무서운 꿈이거나, 그 꿈에서 깨어났을 때 느끼는 감정은 복잡하고 미묘하다. 아마도 그건 꿈의 내용이 제대로 기억나지 않아서 기억을 더듬어가는 과정을 거치고 있거나 또는, 언제나 꿈의 결말에 이르지 못하고 그 중간에 깨어나서 일 수도 있다. 어쨌든 거의 매일 접하게 되는 '꿈'은 항상 잡힐 듯 잡히지 않는 아쉬움과 그 결말을 알 수 없기에 의문과 궁금증만을 남긴 채 홀연히 사라져버리곤 한다. 기억이 제대로 나진 않지만 희미하게 느낌으로 남아있는 꿈, 그렇다면 그 꿈속에서 들려오던 사운드는 어떨까?

덴마크 코펜하겐 출신의 슬립 파티 피플(Sleep Party People)은 브라이언 배츠(Brian Batz)의 원맨 프로젝트 밴드이다. 작곡가, 프로듀서, 믹싱 엔지니어이면서 멀티 인스투르멘탈리스트이기도 한 그는 지금으로부터 10여년 전, 우연하게 버려진 오래된 피아노를 발견하게 된다. 브라이언은 조율이 필요할 정도로 고장난 음 - 정상적인 음 - 을 내지 못하던 피아노를 만지작거리다가 그 어긋나고 묘한 사운드에 사로잡히게 된다. 이는 자연스럽게 이 세상에 존재하지 않지만 어딘가 익숙한 사운드 - 꿈을 닮은 사운드에 대한 열망을 갖게 만들었고, 그렇게 슬립 파티 피플이 시작되었다.

어디서도 들어보지 못한 꿈을 닮은 사운드는 '이상한 나라의 앨리스'를 연상시키는 그로테스크한 마스크의 등장으로 그 신비로움을 완성하게 된다. 특히 라이브 공연 시에는 브라이언과 함께 세션 멤버들이 모두 토끼 가면을 쓰고 나와 그 기괴하고 신비로운 분위기를 배가시키는 것으로 유명한데, 슬립 파티 피플의 뮤직 비디오 역시 유년시절의 미몽과 꿈에서나 나올 범한 영상들로 가득하다.

[Lingering]은 그의 네 번째 스튜디오 앨범으로 레이블을 이적한 후 발표한 첫 번째 앨범이기도 하다. 수려한 멜로디 라인으로 표현되는 꿈결같은 앰비언트 사운드와 리드미컬하면서 신비로운 포스트 록 사운드가 적절한 발란스를 유지하는 본 작은 M83과 테임 임팔라(Tame Impala)가 만난 것 같다는 평을 받으며 슬립 파티 피플의 가장 성공적인 작품으로 평가 받았다. 특히 신비로운 포스트 록 성향은 테임 임팔라를, 유년시절에 대한 향수를 느끼게 해주는 순수함과 우주적인 몽환의 느낌은 M83의 음악과 닮아 있다.

질주감이 느껴지는 드럼과 몽환적인 보컬이 어우러지며 마치 가벼운 악몽과도 같은 느낌을 자아내는 앨범의 첫 트랙인 'Figures'는 포스트 록과 싸이키델릭의 범주를 오가며 새 앨범에 대한 기대감을 증폭시킨다. 'Lingering Eyes'는 무한히 확장해가는 다른 차원의 세상, 진정 꿈을 닮은 역대급 몽환 사운드의 대명사, 슬립 파티 피플의 에센스를 들려주고 있다. 슬립 파티 피플은 숙면을 위한 사운드가 아니다. 어제 밤 당신이 꿈속에서 경험했던 그 순간에 울려 퍼졌을 법한 배경음악, '꿈을 닮은 사운드'를 표현하고 있다."
177,Kaleidoscope EP,Coldplay(콜드플레이),콜드플레이가 선사하는 또 다른 선물!,"이 시대 최고의 밴드, 콜드플레이가 새로운 선물을 들고 왔다. 지난 봄 우리에게 선사했던 첫 내한 공연에 이어 이번에는 다섯 곡이 수록된 EP 앨범이 우리를 반긴다. 몽롱한 사운드 스케이프에 이슬람의 시성 루미의 시구를 담은, 2015년의 전작 [A Head Full Of Dreams]의 수록 곡 ‘Kaleidoscope’와 동일한 타이틀의 앨범이다.

타이틀 이름에서 알 수 있듯 [Kaleidoscope]는 지난 앨범 [A Head Full Of Dreams]의 연장선상에 있는 작품이다. 만화경을 소리로 구현해놓은 듯한 다채로운 색감과 몽환적인 공간감, 아름다운 멜로디로 이루어진 콜드플레이만의 사운드가 이번 앨범에서도 러닝 타임 위를 수놓는다. 널찍한 앰비언스와 풍성한 사운드, 드라마틱한 전개로 압도하는 ‘All I Can Think About Is You’와 각양각색의 신디사이저 터치에서부터 웅장한 오케스트레이션까지 동원해 다양한 편곡을 선보이는 ‘A L I E N S’, 아름다운 댄스 사운드를 지닌 체인스모커스와의 콜래보레이션 트랙 ‘Something Just Like This (Tokyo Remix)’ 등의 곡들이 앨범에 실렸다.

다섯 곡의 짧은 트랙리스트 구성이나 내용은 다채롭다. 트렌디한 댄스에서부터 [Viva La Vida Or Death And All His Friends]를 연상시키는 아트 록, 열광적인 에너지를 동반한 라이브 믹스에 이르기까지 다양한 장르와 스타일로 작품은 구성돼있다. 지원사격에 나선 아티스트 라인업도 풍부하고 탄탄하다. ‘Something Just Like This (Tokyo Remix)’를 함께 만들어낸 EDM 듀오 체인스모커스는 물론이거니와 ‘Miracles (Someone Special)’에서는 미국 정상급 힙합 아티스트 빅 션이 랩을 더했고 ‘A L I E N S’에서는 ‘Viva La Vida’의 전설을 이끈 명 프로듀서 브라이언 이노와 마커스 드라브스가 프로듀싱 과정에 참여했다. 앨범 곳곳에는 이렇게 많은 즐길거리가 존재한다.

‘Everglow’와 ‘Hymn For The Weekend’를 계속해 다시 찾아 듣고 핸드폰 속에서 지난 내한 공연의 추억을 뒤적이던 우리에게 적시에 찾아온 선물. [Kaleidoscope]는 그러한 작품이다. 지금의 콜드플레이가 구사하는 밴드만의 서정적인 사운드가 담긴 이 앨범, 밴드를 사랑하는 이들이라면 결코 놓쳐서는 안 될 테다."
178,Write..,남우현,"호소력 짙은 목소리, 인피니트의 숨겨진 보컬","우현은 데뷔 초부터 인피니트에서 보컬 라인 중 한 명으로 자리를 꿰차고 있었지만, 인피니트의 리더이자, 메인 보컬 성규에 비해 빛을 발하지 못하여 아쉬움을 가지고 있던 멤버 중 하나였다. 인피니트의 첫 정규 앨범에 수록된 우현의 첫 솔로 곡인 '시간아'를 들었을 때, “아, 정말 이 멤버는 장난이 아니구나. 얘가 노래하는 게 아니라면 세상 사람들 중 노래할 줄 아는 사람 없는 거다.”라는 생각이 들 정도로 감명 깊게 들었다. 그랬던 우현이 이렇게 인피니트 멤버로서가 아니라, 솔로 가수 '남우현'. 자신의 이름 세 글자를 걸고 나왔을 때 가슴이 엄청 벅차 올랐던 것 같다.

이번 앨범 [Write..]는 우현이, 우현만이, 오직 우현이 써 내려갈 수 있는 감성을 써 내려간 감성적인 앨범이라고 할 수 있다. ‘Write..’를 포함해, 여섯 곡이 수록되어 있으며, 개인적으로 나는 이 앨범에서 '그 사람'과 '향기'라는 곡을 가장 좋아한다.

'그 사람'은 피아노 선율과 웅장한 하게 들리는 베이스로 깔리는 소리들이 매력적이며, 처음 보컬이 들어올 때는 피아노 하나로만 연주해, 우현의 목소리에 더 집중할 수 있게 하는 마성의 곡이라고 할 수 있다. 처음 시작할 때 가사인 “오는 건지도 몰랐던 낯선 손님을 맞은 것처럼 허둥거리며 이별을 마주했던 나” 이 부분이 시적인 표현이라서, 너무 마음에 들기도 했으며, 소홀하게 연인을 대해 놓쳤다는 그런 가사가 너무 애절해서 마음에 드는 곡이기도 하고, 요즘 감성보다는 역시 00년대 감성이 들어가 있는 곡이라고 해야 하나, 그런 느낌이 없잖아 있다. 목소리에서 한(?)을 찾아 볼 수 있는 그런 곡이다.

'향기'는 잔잔한 기타 선율과, 음악의 완성도를 더 높여 주는 코러스가 매력적인 곡이다. 사랑하는 그 사람을 잊는 게 힘들다는 마음이 담겼으며, 돌아가기엔 늦었나, 멈춰 서서 당신을 기다리고 있는 내가 네게 났던 너의 향기를 맡고 있다는. 그런 애절한 곡이라고 할 수 있다. 향기라는 타이틀로 곡을 쓴다는 것이 너무 매력적이라는 생각을 했으며, 노래 자체가 우현만을 위해 만들어진 것 같이, 슬픈 감성을 느낄 수도 있지만 잔잔하게 편하게 들을 수 있어서 내가 좋아하는 곡 중 하나이다.

우현은 인피니트 멤버들, 그리고 남자 아이돌 그룹 중에서도 누구에게도 지지 않을 정도로 매력적이고, 그만의 음악 스타일이 있는 보컬리스트 중 하나라고 생각한다. 다음 앨범도 이 앨범처럼, 이 앨범보다 더 매력적이고, 감성적인 곡으로 돌아와, 새벽에 듣기 좋은, 내 감성을 아주 마구마구 괴롭혀 줬으면 좋겠다."
179,Emotion,정키(Jung Key),프로듀서 정키의 혼이 담긴 수작 [Emotion],"우리나라에서 작곡가, 프로듀서라는 타이틀로 사람들에게 주목 받기란 쉽지 않은 일이다. 곡에 맞는 가수를 찾는 일, 개성 있는 곡들로 다양한 색채를 보여 주는일, 그리고 음악성으로 대중들에게 인정 받는 일... 정키라는 가수가 이렇게 많은 사람들에게 사랑 받게 될 줄은 몰랐었고 오직 음악만으로 널리 널리 퍼지며 지금의 자리까지 오게 되었기에 더 많은 사람들이 알았으면 하는 마음에 이렇게 소개하려고 한다.

가수 김나영이 <슈퍼스타K>라는 오디션 프로그램에서 두각을 나타내며 대중들의 관심을 모았고 프로그램 출연 전에 발매되었던 프로듀서 정키와의 작업물 '홀로'가 인기를 모으며 정키라는 이름을 대중들에게 알리기 시작했다. 김나영 이외에도 개성 있는 보컬리스트들과의 콜라보로 많은 관심을 모으던 정키. 그의 음악은 깊이 있고 풍부하며 짙은 감성이 담긴 노랫말이 매력적으로 다가온다.

꾸준하게 디지털 싱글을 발매하며 매번 다른 색깔의 음악으로 대중들에게 사랑 받던 그는 <도우즈 레코즈>라는 음반사와 계약하며 지금껏 발매했던 싱글들을 모두 모아 [Emotion]이라는 정규 앨범으로 발매했다.

사람들은 잘 모른다. 그가 얼마나 차근차근 준비해온 아티스트인지, 얼마나 검증된 작곡가 인지를... 천천히 그의 음악을 들어보면 느끼게 될 것 이다. 한국에 몇 없는 작곡가, 프로듀서라는 것을..! 필청 트랙으로는 ‘Mama’와 ‘하소연’이라는 곡을 뽑고 싶다. 주류음악들의 색채를 벗어났음에도 귓가에 맴도는 그의 음악 모두가 함께 들었으면 한다."
180,Cosmic Dancer,몽구스(Mongoose),"뒤돌아 보지 않을 용기, 결코 후회하지 않을 젊음","청춘을 논하면 빼놓을 수 없는 밴드, 청춘 전도사 '몽구스'. 청춘과 젊음, 그리고 우주와 댄스를 노래하는 재기 발랄한 밴드 몽구스는 어느덧 데뷔 13년차의 중견 밴드가 되었다. 변함없이 범우주적인 댄스를 추고 있는 그들의 2011년작 [Cosmic Dancer]. 이 앨범에는 히트곡 작곡가이자 명 프로듀서로 이름을 날리고 있는 'Hitchhiker aka. 지누 in 롤러코스터'가 프로듀서로 참여하여 그들의 댄스에 더 한 풍미를 준다. 전작에 비해 더욱 세련된 사운드를 들려주지만 세련됨 가운데서도 몽구스 특유의 복고틱한 댄서블한 사운드는 여전하다.

추천 곡으로는 몽구스 본연의 느낌이 가득한 댄서블한 넘버 '서울의 밤 청춘의 밤'과 톡톡 튀는 경쾌한 음악을 들려주는 이 팀의 잔잔한 감성을 물씬 느낄 수 있는 '열 아홉번'을 선곡했다. 현재 멤버 개개인의 개인활동에 치중하고 있는 몽구스, 굳어버린 관절을 다시 춤추게 해 줄 그들의 재기 발랄한 사운드를 기다려 본다. 춤추지 않는 당신은 21세기 마지막 몬스터!!"
181,The Composer Of Desafinado Plays,Antonio Carlos Jobim(안토니오 까를로스 조빔),"보사노바의 전설, 안토니오 까를로스 조빔 데뷔작! (1963)","보사노바의 3대 걸작인 'The Girl From Ipanema', 'Insensatez', 'One Note Samba'를 모두 보유하고 있는 <버브>는 박스세트에 2 타이틀을 포함시키고 있다. 그 중 하나가 안토니오 까를로스 조빔이 작곡가로서의 위상과 연주자로서의 능력을 미국 시장에 본격적으로 선보이는 리더 데뷔작이다.

대중적인 인기와 사랑은 이를 넘어설 수 없지만 1963년 5월에 같이 녹음되었기 때문에 조빔은 본 작에 자신의 스타일을 담기 위해 더욱 노력했을 것이다. 과도한 리듬 변형과 솔로 등 재즈적인 해석을 절제하고 'The Girl From Ipanema', 'Insensatez', 'One Note Samba'등을 보사노바의 정통성을 살려 연주하고 있다. 그래서 세월이 지날수록 더욱 인정받고 있는 앨범이다.

곳곳에서 청량감을 더하는 디지 길레스피 밴드 출신의 레오 라이트(플루트)와 라이오넬 햄프톤 악단의 트롬본 주자 지미 클리브랜드가 적절 수위를 지키며 솔로를 선보이며, 연주의 품격을 높이는 현악 앙상블은 클라우스 오거만이 책임지고 있다. 클라우스 오거만은 현악 세션의 마법사로 최근 다이애나 크롤의 보사노바 작 (2009)에서도 요술봉을 흔들었다. (글: 유니버설뮤직코리아 제공)"
182,Chillin',Force M.D.'s,두왑과 힙합 드럼머신 사운드가 만나다! (1985),"포스 엠디스(Force M.D.'s)는 두왑과 힙합의 드럼머신 사운드를 접목한 최초의 그룹이다. 기본적으로 그들의 음악은 멤버들의 보컬을 조화한 두왑(Doo-Wop)에 기반을 둔다. 비슷한 시기에 뉴 에디션(New Edition) 또한 유사한 음악을 선보였다.

이들이 대중적인 인기를 얻은 곡은 [Chillin’]에 실린 ‘Tender Love’였다. 지미 잼 앤 테리 루이스가 제작한 슬로우 잼인데, 영화 <크러쉬 그루브>의 OST로 쓰이며 빌보드 팝 차트 10위에 오르는 대형 히트를 기록했다. 덕분에 포스 엠디스와 [Chillin']이 대중의 주목을 받았지만, 정작 나머지 수록 곡들은 힙합 드럼을 차용한 뉴잭스윙 사운드를 추구한다.

이 때문에 앨범은 기대치에 못 미치는 수준의 관심만을 받았다. 비록 인기는 뉴 에디션에 못 미쳤지만, 드럼머신을 활용한 힙합의 질감과 뉴잭스윙의 탄생에 단서를 제공했다는 점에서 큰 의미가 있는 팀이다. (글: 류희성)"
183,Generationwhy (Album Ver),ZHU(주),클래스가 다르다! 주(Jhu)의 데뷔작 [Generationwhy],"벅스가 선정한 2016년 10월 이달의 앨범 선정 작품. '주'라는 이름 자체가 매우 생소하다면, 재작년 제57회 <그래미 어워드>에서 ‘베스트 댄스 레코딩’ 후보를 되짚어보면 된다. 후보에 오른 다섯 곡에는 낯익은 이름이 대부분이었는데, 베이스먼트 잭스(Basement Jaxx), 디스클로저(Disclosure), 클린 밴딧(Clean Bandit), 듀크 듀몬트(Duke Dumont)가 거론된 상황에서 주라는, 시상식과는 다소 어울리지 않는 인지도의 뮤지션이 있었음을 기억할 수 있을 것이다.

맞다. ‘Faded’ 한 곡으로 씬을 놀래게 했던 그가 이름을 알린 지 비로소 2년 만에 첫 정규앨범을 내게 됐다. 매스컴에 별도로 얼굴을 알리지 않은 채, 작업한 음악만으로 <그래미> 후보까지 올라간 이 괴물은 그 기대에 걸맞게 듣는 이를 충격과 감동으로 안내할 14곡을 들고 왔다. ‘충격’이란 표현은 설레발이 아니다. [Generationwhy]는 21세기 딥하우스의 단계를 충분히 끌어올릴 만한 넘버들로 가득 차 있다. 이런 확신은 트랙을 다 듣기 전부터, 단 몇 곡만으로도 재빨리 감지할 수 있다.

전혀 다른 온도의 변주임에도 부드럽게 이어지는 ‘Cold Blooded’, 무대를 확실하게 달궈줄 ‘In The Morning’의 비트는 대중음악의 핵심 요소들인 ‘새로운 감각’과 ‘신선한 문법’에 대한 가치를 또렷하게 전달한다. 이를 통해 느껴지는 쾌감은 2016년에 등장한 신인 중 가장 짜릿하게 다가온다.

이러한 즐거움에서 방점은 ‘Hometown Girl’이다. 잘 만든 앨범은 많지만, 쉽고 편안하게 만든, 잘 들리는 곡은 찾기 어려운 시점에서 ‘Hometown Girl’은 대중성 높은 멜로디와 편곡을 펼쳐 나간다. 혹시나 앞선 음악들이 조금 어려울 수 있는 이들에게, ‘Hometown Girl’은 친절하고 매너 있게 [Generationwhy]란 집의 현관문을 열어주는 것이다.

‘Faded’ 때만 해도 잠시 폼이 좋아 보이는 것으로 오해했던 이 뮤지션은, 풀 앨범을 내면서 폼이 아닌 클래스가 다르다는 걸 보여주게 됐다. “괴물일까?”였던 신인은 진짜 ‘괴물’이었던 것이다. 무슨 말이 더 필요하겠는가. ‘필청’을 권하고 싶다."
184,Good Will Prevail,Griz,"색소폰 부는 미국 DJ, GRiZ","벅스가 선정한 2016년 10월 이달의 앨범 선정 작품. 작년, ‘이달의 앨범 - 해외편’에서 가장 소개하고 싶었던 앨범 중 하나는 그리즈(GRiZ)의 [Say It Loud](2015)였다. 소개하지 못했던 이유는 단 하나다. 국내와 해외의 발매일 차이가 너무 커서, 소개하기엔 시기가 놓쳐진 상태였다. 다행히 색소폰 부는 미국 DJ, 그리즈(GRiZ)의 다섯 번째 정규 앨범은 해외 출시 일에 발맞춰 국내에도 들어오게 됐다.

일단 그의 음악에서 두드러진 점을 말하자면 펑키(Funky)다. 관악기의 힘을 무시할 수 없는 것도 있고, 이를 통해 리듬과 보컬이 어우러지며 발산되는 펑키한 리듬은 플로우를 마구 달군다. 신보에선 그리즈(GRiZ) 특유의 리듬감이 조금 줄어들었다. 그는 예전과 같은 작법 보다, 전자 기타를 중심으로 좀 더 락킹하고 공격적인 음향을 신보에 배치했다. 그래서 장기인 색소폰의 현란한 움직임이 전작 보다 덜 비추는 건 사실이다.

그러나 그가 누구던가. 그 어떤 장르의 융합이라도 어렵지 않게, 흥미롭게 풀어내는 편곡 능력을 지닌 인물이다. 다양한 악기 소리가 조합되며 거침없는 사운드 스펙트럼을 펼쳐내지만, 이 와중에도 대중의 입맛을 놓치지 않는다. ‘Can’t Hold Me Down (feat. Tash Neal)’의 압박도, ‘I Don’t Mind (feat. Sunsquabi, Artifakts & iDa HAWK)’의 질주도 부담스럽지 않은 건 이 때문이다. 펑키 리듬이 그립다면 ‘Good Times Roll (feat. Big Gigantic)’에 접속하면 된다. 더불어 ‘Before I Go (feat. Loe Napier)’도 만나게 된다면 굳이 [Say It Loud]가 아쉽지 않을 만큼, 갈증을 풀어낸다.

기존 팬의 요구 사항을 잘 지키면서도 새로운 영역에 안착했다고 할까. 역시 예나 지금이나, 어떠한 상황에서도 그리즈(GRiZ)는 들리는 음악을 만들 줄 안다."
185,Encore,DJ Snake(DJ 스네이크),트랩하면? DJ 스네이크!,"벅스가 선정한 2016년 9월 이달의 앨범 선정 작품. 덥스텝(Dubstep)의 유행이 지나면서 바통 터치를 한 건 트랩(Trap)이다. 자연스럽게 해당 장르를 맛깔나게 표현한 뮤지션들이 지구촌의 주목을 받고 있는데, 이 중 가장 성공한 슈퍼스타를 꼽으라면 DJ 스네이크가 나올 수 있다.

2014년에 히트한 ‘Turn Down For What’은 이제 오래된 애기로 느껴질 정도로, 그는 매년 한 곡 이상 중독성 높은 트랙으로 대중과 만나고 있다. 작년은 ‘Lean On’이 그 역할을, 올해는 ‘Middle’ 자리를 잡았다는 것에 반기를 들 사람은 없을 것이다. 그런 그가 첫 정규 앨범 [Encore]를 내게 됐는데, 자연스럽게 타이틀곡인 ‘Let Me Love You’가 이목을 이끌며 적지 않은 사랑을 받고 있다.

이 곡은 지난 2년간 쌓아온 명성을 이어가려는 의도가 확실히 드러나는 곡이다. 무엇보다 ‘Middle’의 성공 공식에서 크게 벗어나지 않았고, 여기에 저스틴 비버까지 합류했으니, 초콜릿에 생크림을 얹은 격이나 마찬가지다. 현 주류에서 전자음악 상황을 가장 단편적으로 보여주는 곡으로 볼 수 있다. 대중적인 추세를 읽으려고 할 때 이만한 곡이 또 있을까. DJ 스네이크의 활약은 2016년의 흐름에서 놓쳐선 안 될 지점 중 하나이다."
186,Hybrid Theory [Special Edition],Linkin Park(린킨 파크),"21세기, 록음악의 새로운 시도를 알린 앨범!","이 앨범이 나온지도 15년이 더 훌쩍 지나버렸다. 당시 콘(Korn)이나 림프 비즈킷(Limp Bizkit)과 함께 뉴메탈의 전성시대를 연 린킨파크(Linkin Park)의 존재를 세계에 알린 그들의 첫 번째 앨범이다. [Hybrid Theory]란 앨범명답게 그들의 음악은 록(메탈)을 베이스로 다른 여러 장르를 뒤섞은 앨범을 탄생시켰다.

이들이 만들어낸 사운드와 너무 잘 어울리는 보컬인 체스터 베닝턴(Chester Bennington)의 허스키한 샤우팅도 굉장히 매력적으로 다가왔고 핵심 멤버인 마이크 시노다(Mike Shinoda)의 중독성 강한 랩도 귀에 들어왔다. 결과적으로 이 앨범은 대중성과 음악성을 모두 잡으며 판매량에서도, 각종 시상식에서도 성공적인 결과로 나타났다.

그리고 무엇보다 린킨파크(Linkin Park)라는 밴드가 추구하는 음악을 세계에 알리는데 성공했고, 국내에서도 이미 많은 팬을 보유하고 있는 밴드이기도 하다. 그 중에서도 이 앨범의 대표 곡이라 할 수 있는 ‘In The End’와 ‘Ons Step Closer’ 그리고 ‘Crawling’을 추천한다."
187,Melodrama,Lorde(로드),"독보적, 치명적 Lorde의 두 번째 이야기 [Melodrama]","처음 로드(Lorde)를 접했을 때, 아이슬란드 뮤지션 뷰욕(Bjork)과 미국 뮤지션 토리 에이모스(Tori Amos)가 혼연일체 된 느낌이었다. 그녀는 목소리, 작곡력, 스토리텔링, 여기에 음악적 재능까지 모든 게 입이 떡 벌어질 정도로 출중한 뮤지션였다. 데뷔 당시 그녀의 나이가 16세인 것을 알고, 무릎을 쳤던 기억도 있다.

뉴질랜드 작은 항구 마을에서 태어나 성장한 1996년생, 숙녀 로드(Lorde, 본명: 엘라 마리아 라니 옐리흐 오 코너(Ella Maria Lani Yelich-O'Connor)). 그녀는 어렸을 때 시인인 어머니로부터 풍성한 문화적 영향을 받았다. 그녀는 10살부터 시와 소설을 쓰기 시작했는데, 로드의 어머니는 그것을 보살피고, 가르쳐줬다. 성장 과정에서 로드는 빌리 홀리데이(Billie Holiday), 샘 쿡(Sam Cooke), 에타 제임스(Etta James) 그리고, 오티스 레딩(Otis Redding) 등과 같은 재즈/소울 뮤지션들의 음악을 들으며 자랐다. 13살 되던 해 그녀는 친구와 함께 뉴질랜드 라디오 프로그램에 초대되어, 픽시 로트(Pixie Lott)의 ‘Mama Do (Uh Oh, Uh Oh)’ 와 킹스 오브 레온(Kings of Leon)의 ‘Use Somebody’을 커버했는데, 이게 유니버설 뮤직 A&R 담당자였던 스콧 맥라클란(Scott Maclachlan)의 귀를 사로잡았다.

로드의 천재성과 무한한 가능성은 데뷔 앨범 [Pure Heroine](2013)에서 확고하게 드러났다. 앨범 수록 곡 ‘Royal’은 당시 대선배인 에미넴(Eminem)과 레이디 가가(Lady Gaga)를 제치고 빌보드 싱글 차트(Billboard Hot 100)에 9주 연속 1위에 머물렀다. 당시, 빌보드는 로드를 “얼터너티브의 새로운 여왕”이라고 평했고, 롤링스톤지는 “2013년 로드에 견줄 신인은 없다”고 극찬하면서, 로드는 주목할 만한 신예로 급부상하였다.

어린 나이에 로드는 무대와 협업을 통해 자신의 음악적 경험을 넓혀갔다. <롤라팔루자(Lollapalooza)>, <코첼라 페스티벌(Coachella Festival)> 등 대규모 음악 페스티벌 무대에서 끼와 재능을 마구 발산했으며, 영화 <헝거 게임:모킹제이 (The Hunger Games: Mockingjay - Part 1)>의 OST에 곡 ‘Yellow Flicker Beat’로 참여하기도 했다. 2015년에는 영국 출신 일렉트로닉 듀오 디스클로저(Disclosure)의 앨범 [Caracal]에 수록곡 ‘Magnets’를 불러 또 다른 매력을 보여주기도 했다.

숨가쁘게 달려온 꼬마 거인 로드가 4년 만에 두 번째 앨범 [Melodrama]를 발표했다. 이번 앨범은 데뷔 앨범부터 함께한 로드의 음악 동지이자 분신인 잭 안토노프(Jack Antonoff)와 프로듀서 조엘 리틀(Joel Little)이 조력자로 활약했다. 앨범에서 로드는 모든 곡의 작곡/작사/프로듀싱에 직접 참여하여, 자신만의 사운드 정체성을 확고하게 만들고 있다. 그녀는 데뷔 앨범 [Pure Heroine]의 인터뷰에서 “내 노래는 모호한 분위기 때문에 듣는 사람들이 발견해야 할 부분이 많다”고 밝힌 적이 있는데, 앨범 [Melodrama]에서는 선명한 색감과 확고한 어조가 돋보인다.

앨범 발매 전 컴백의 신호탄으로 공개한 ‘Green Light’는 노래를 온몸으로 표현하는 로드의 모습이 뮤직비디오에 담겨 6천만이 넘는 유튜브 조회수를 기록한 바 있다. 피아노로 멜로디의 기본 흐름을 잡고, 드라마틱한 리듬과 코러스로 극적 효과를 살린 이 곡은 앨범의 처음을 화려하게 장식한다. 강렬하고, 진한 흔적을 남기는 로드의 목소리는 앨범 전반에 걸쳐 곡을 끌고 가는 핵심 에너지원인데, 이는 앨범의 중심 테마라고 볼 수 있는 ‘Sober’ 와 ‘Sober II(Melodrama)’ 에서 두드러지게 나타난다.

앨범 [Melodrama]에서 로드는 스웨덴 출신 싱어송라이터 토브 로(Tove Lo)가 작곡에 참여한 곡 ‘Homemade Dynamite’에서 몽롱한 분위기를 연출했고, 오스트리아 출신 프로듀서/DJ 플룸(Flume) 과 함께 ‘The Louvre’에서 공간감 있는 사운드를 만들어냈다. 여기에, 일렉트로닉 사운드로 다층적 감성을 연출해 낸 ‘Hard Feelings/Loveless’, 다이나믹한 곡 구성으로 비요크를 연상 시키는 ‘Supercut’, 피아노 한 대에 얹혀진 진솔한 로드의 목소리를 감상할 수 있는 ’Liability’와 ‘Writer In The Dark’ 등을 포함해 총 11곡의 음악을 앨범에서 만날 수 있다.

로드는 앨범 [Melodrama]에서 좀 더 과감하고, 좀 더 진솔한 사운드를 들려준다. 막 20살 넘은 숙녀 아티스트가 선택한 이 정공법은 무서울 정도로 견고한 음악적 카리스마를 뿜어내며, 청자들의 감정을 흔들어 놓는다. 끊임없는 실험을 통해 음악적 정체성을 찾아가는 로드의 감량과 통찰력은 독보적이고 치명적이다. 이질적인 요소들과 감정들을 자유자재로 연출하여 로드 자신 만의 음악적 세계관으로 승화시키는 모습을 경험하는 것만으로도 앨범 [Melodrama]의 가치는 충분하다. (글: 이진섭 (DJ morebomb, 팝 칼럼니스트/ 브랜드 매니저/ DJ))"
