,album links,album titles,artists,review titles,reviews
39,20326351,오늘밤 당산나무 아래서,추다혜차지스,"전례없이 파격적인 앨범, [오늘밤 당산나무 아래서]","여기 전례없이 파격적이고 올해 최고의 앨범을 다툴만한 작품이 나왔다. 민요와 락을 결합한 밴드 씽씽 활동을 통해 전세계적으로 주목받은 바 있는 추다혜를 위시하여 윈디시티(Windy City)와 소울소스(aka 노선택과 소울소스) 출신의 이시문, 윈디시티, 까데호(Cadejo), 써드체어(3RD CHAIR) 출신의 김재호, 플링 출신의 김다빈이 뭉친 추다혜차지스의 [오늘밤 당산나무 아래서]이다. 앨범은 큰 틀에서 무가(*필자 주: 무속의식에서 무당이 구연하는 사설이나 노래)와 블랙뮤직이 혼합되어 탄생했다.

무가와 훵크(Funk)가 중심을 잡았고, 약간의 레게, 덥, 락, 힙합이 혼합된 진귀한 곡들이 약 35분에 걸쳐 흐른다. 특히, 콧소리와 요성을 주로 사용하는 서도민요 창법에 기반을 둔 추다혜의 보컬은 시종일관 귀를 휘어감고, 감정을 쥐락펴락한다. 콧소리와 속소리가 섞이고, 격렬하게 떨리며 상승과 하강을 반복하는 그의 소리는 강력한 주술 그 자체다. ‘비나수+’, ‘사는새’, ‘리츄얼댄스’ 등은 백미다.

더불어 추다혜와 이시문이 공동으로 맡은 프로덕션은 굿과 블랙뮤직, 과거와 현재를 이으며, 블랙뮤직과 얼터너티브 음악의 새로운 역사를 써 내렸다. 가사 면에서도 기존의 무가를 변이없이 부른 것이 아니라 재구성과 창작이 이루어진 점을 특기할만하다. 추다혜는 작자미상의 무가를 쓸 경우엔 가사를 재배열하여 이야기를 구성하거나 무가의 특징인 현장성을 살려 부분적으로 새로운 가사를 입혔고, 아예 전체 가사를 새로 쓰기도 했다. [오늘밤 당산나무 아래서]에는 전혀 예상할 수 없었고, 감히 상상할 수 없었던 음악적 실험과 그루브가 담겼다. 이 앨범을 지나치지 않고 들은 나도, 그리고 당신도 진정한 행운아다. 벅스가 선정한 2020년 6월 이달의 앨범 선정 작품."
40,20324191,내면의 영화,서보경,"강력한 데뷔작, 서보경의 [내면의 영화]","새로운 아티스트를 만나는 일은 언제나 즐겁다. 어떤 음악이 스피커를 통해 나올지 기대하면서 듣게 되는데 사전 정보가 없으면 검색하며 듣고 어떤 앨범은 바로 CDP에 넣어 들어본다. 듣다 보면 어떤 앨범을 듣고 있는지 잊기도 하고 어떤 때는 전혀 다른 아티스트의 앨범으로 생각하며 듣다가 나중에 CD를 보고 놀라기도 한다. 아마 이게 모두 재즈 듣는 재미일 것이다. 색소포니스트 서보경의 데뷔작 [내면의 영화]는 몇 번을 확인할 정도 신선한 앨범이다. 6곡이 모두 창작곡으로 곡명에서 알 수 있듯 자연스럽게 자신의 이야기를 써 내려가고 있다.

서서울생활과학고등학교와 한양대학교에서 실용음악을 전공했으니 일찍 음악을 시작한 색소포니스트이다. 고등학교에서는 처음 보컬을 전공했다가 스티비 원더 공연에서 들은 ‘Spain’의 테너 색소폰의 솔로가 인생을 바꿨다고 한다. 이후 색소폰에 빠지게 되어 2013년에 개최된 제7회 경향실용음악콩쿨에서 테너 색소폰으로 호원대 총장 특별상까지 받게 된다. 대학 진학 후에는 좀 더 다양한 음악적 자극을 받으면서 나의 이야기를 어떠한 방법으로 풀어낼지 고민을 했을 것이고 그 결과물이 데뷔작 [내면의 영화]에 담겨있다. 첫 곡 ‘늘어나는 나무(Decalcomanie)’는 데칼코마니라는 부제가 있는데 어떤 무늬가 다른 종이에 묻어나게 하는 회화기법으로 악보에서 이런 발상을 얻었다고 하니 작곡도 참 즉흥적이고 음악적이다.

앨범에서 가장 인상적으로 들은 ‘부모, 어른, 아이 ([P],[A],[C])’는 가족 간, 세대 간의 이야기다. 코로나19로 인해 가족 간 같이 보내는 시간이 많아져 화목해지기보다는 다툼이 많아졌다는 뉴스를 들었다. 어느 시대가 갈등이 있겠지만, 코로나 시대에는 적당한 온기 못지않게 거리도 있어야 하지 않을까 한다. 이한얼의 흩뿌리는 피아노 연주 위에 무덤덤하게 연주하는 서보경의 색소폰을 듣고 있으면 음악과 인생에 대한 고민은 세월과는 전혀 상관없음을 알게 된다. 뛰어난 작곡과 이를 음악으로 표현하는 방식 모두 아름답다. 앨범 타이틀 ‘나의 꽃(My Flower)’에 이어 흐르는 ‘너보다 더(More Than You Know)’는 조민기의 베이스 연주로 시작한다.

다소 진지한 전반부에서 벗어난 곡의 흐름은 김종현의 브러시 드럼이 잘 이끈다. 마지막 곡 ‘58쪽 마지막 두 줄’은 행복에 관해 얘기한 파울로 코엘료의 소설 '연금술사'의 일부분을 말하고 있다. 자전적인 앨범이라는 거창한 타이틀보다는 한국에서 20대 아티스트가 겪어온 감정을 동료들과 거짓 없이 연주하고 있다는 생각이 들었다. 서보경의 [내면의 영화]는 최근 들은 한국 아티스트의 데뷔작 중 가장 강력하게 사로잡았다. 벅스가 선정한 2020년 6월 이달의 앨범 선정 작품."
41,20329617,Good nights and Sad times,Faver(페이버),"또 한 명의 주목할만한 신인, Faver(페이버)","지난 3월 첫 EP [a simple Favor]를 통해 인상적인 신고식을 알렸던 싱어송라이터 페이버가 3개월 만에 선보이는 두번째 EP로, 알앤비/소울/힙합 장르를 지향했던 전작과는 사뭇 다른 차분한 감성의 일렉트로닉/포크 팝 스타일로 그녀의 또 다른 매력을 전해주고 있다. 트로피컬한 감성의 포크 팝 ‘Closure’와 서늘하면서도 포근한 어쿠스틱 알앤비 발라드 ‘Good nights and Sad times’, 트립 합 스타일의 몽환적이고 실험적인 전개를 보여주는 ‘Shady’와 업템포의 청량하고 로맨틱한 일렉트로닉 알앤비 트랙 ‘Please Don't Die’ 등 앨범은 시종일관 차분한 정서를 유지하면서도 다음 곡을 기대하게 하는 흥미진진한 흐름을 이어간다.

형식에 맞추기보다는 자유로운 소리와 구성의 곡들을 만들고자 했다는 소개글처럼 (알앤비)장르의 틀에서 벗어난 자유분방한 창작력과 곡마다 색다른 음색과 숨결을 불어넣는 노련한 보컬을 통해 팝 싱어송라이터로서 한층 성장한 면모를 내비친다. 전작이 수민(SUMIN)의 독창성과 신선함을 닮은 가능성을 보여줬다면 이번 앨범(특히 ‘Please Don't Die’)에서는 백예린을 떠올리게 하는 몽환적이고 섬세한 매력이 깊은 인상을 남긴다.

요컨대 수민과 백예린의 등장 이후 새로운 전환점을 맞은 한국 알앤비 팝 씬에 또 한 명의 주목할만한 신인의 존재감을 알리는 수작이다. 벅스가 선정한 2020년 6월 이달의 앨범 선정 작품."
42,20316530,통감,정수민(Sumin Jung),사회 현상과 시대 정신을 담은 [통감],"2018년 발표한 1집 [Neoliberalism]에서 베이시스트 정수민은 독특한 뉘앙스로 되도록 금기시했던 음악가의 사회 참여적인 시선을 적극적으로 드러냈다. 1집 발표 후 EBS 스페이스 공감의 ‘2019 한국 재즈의 새 얼굴’에 선정되어 대중들에게 좀 더 다가가고 현재는 자신의 리더작 뿐 아니라 김오키 새턴 발라드에서도 활약하고 있다. 여러 인터뷰에서 밝혔듯이 자신의 음악 활동은 ‘사회 현상과 시대 정신을 그대로 담는 것’에 있다고 한다. 보통 이럴 경우 음악에도 그 무게감이 실려 진지하기 마련인데 그의 음악에는 따뜻한 시정이 시종일관 흐른다. 앨범의 컨셉을 꼭 파악하지 않더라도 편안하게 들을 수 있다.

정수민은 두 번째 정규작 [통감]에서 마음에 사무치게 남아 있는 슬픔 속에 사는 우리를 그리고 있다. 86세대와 광화문 촛불세대를 잇는 노래가 된 ‘동지가’가 첫 곡으로 흐른다. 결의에 찬 목소리로 부르는 “사~랑 영원한 사랑, 변치 않~을 동지여”는 비장한 감성이 절절하다. 정수민은 묵직한 베이스로 그 무게를 표현하고 있다. 피아노는 정해진 길(선율)을 따라가다 다른 길로 가고 또다시 동지들을 이끌고 있다. 피아노 솔로가 끝나고 베이스 솔로가 연주될 때 피아노와 베이스는 저 멀리에서 연주되듯 아늑하게 들린다. 많은 시위 현장에서 ‘동지가’를 듣고 연주했을 정수민의 해석이 새롭다.

1집 [Neoliberalism]에 수록되었던 ‘강남 478’을 다시 연주하는데 이번에는 김오키의 테너 색소폰과 진수영의 피아노가 더해진 김오키 새턴발라드 연주다. 아마도 사람마다 ‘강남’과 같은 어떤 신기루 같은 지역, 공간이 있을 것이다. 테헤란로의 화려한 자동차 물결이 잔잔한 파도가 일렁이는 속초 바닷가처럼 느껴지는 연주이다. 앨범은 전체적으로 정수민과 이선지(피아노)의 듀오가 주를 이룬다. 드럼이 없어 내면을 좀 더 들려다 볼 수 있다. 김오키는 한 곡만 연주했지만, 앨범 크레딧에 ‘Advice’로 참여했다고 하는 데 어떤 조언과 충고가 있었는지 궁금해지기도 하다. 벅스가 선정한 2020년 5월 이달의 앨범 선정 작품."
43,20320421,갈 곳을 잃어도 어디든 흘러갈 수 있게,최예근,매력과 존재감을 어필하는 인상적인 데뷔작,"‘K팝스타 시즌2’에서 천재 키보드 소녀로 이름을 알렸고 올해 초 ‘유희열의 스케치북’과 ‘불후의 명곡-전설을 노래하다’ 경연에서 연달아 우승하면서 주목을 받았던 싱어송라이터 최예근의 첫 정규 앨범이다. 8년 만의 데뷔 앨범이기에 오랜 시간 준비하고 공들인 결과물이라는 것을 짐작할 수 있는데 그래서 신인의 풋풋함보다는 싱어송라이터로서 노련한 원숙함이 배어있으며 특히 다양한 장르를 능숙하게 소화해내는 면모에서는 대선배 박선주의 계보를 이을 만능 아티스트로서의 자질을 엿볼 수 있다.

레트로 알앤비 발라드 ‘자각몽’과 최신 트랜드 팝 스타일의 ‘하수아비’를 더블 타이틀곡으로 내세운 것처럼 앨범은 그 어떤 스타일도 소화해낼 수 있다는 자신감으로 충만한데, ‘Unbalance’는 박선주를 떠올리게 하는 파워풀한 락 보컬이 인상적이며 ‘Supermoon’과 ‘알아’에서는 재즈 보컬리스트로서 주목할만한 가창력을 선보이기도 한다. 음악을 만들면서 느꼈던 설렘과 불안감이 교차하는 마음을 표현한 ‘자각몽’과 영화 <도가니>를 보고 영감을 받아 만든 ‘까만 얘기’, 남탓하기에 익숙한 사회 현실을 풍자하는 ‘탓’과 정체성에 대한 고민을 담아낸 ‘내가 서 있는 곳’ 등 자아성찰과 인간관계, 사회적인 이슈 등 다양한 주제를 흥미롭게 구성해내는 창작력도 뛰어나다.

알앤비와 재즈, 트렌드 팝과 모던 락 등 다양한 장르를 아우르는 탄탄한 음악성에 폭넓은 스타일과 음역대를 소화해내는 가창력, 유기적인 스토리텔링을 구현해내는 감각과 표현력 등 차세대 싱어송라이터로서 다부진 매력과 존재감을 어필하는 인상적인 데뷔작이다. 벅스가 선정한 2020년 5월 이달의 앨범 선정 작품."
44,14308197,Rough and Rowdy Ways,Bob Dylan(밥 딜런),2010년대 밥 딜런이 발표한 최고의 앨범,"결론부터 말하고 시작하겠다. [Rough And Rowdy Ways]는 2010년대 밥 딜런이 발표한 최고의 앨범이다. 아니, 21세기 밥 딜런 최고작이라 해도 틀린 말이 아니다. 먼저 상징성이다. “거칠고 험한 길.” 그의 일대기를 말하는 것 같다. 밥 딜런의 여정은 하나의 서사시다. 그리니치빌리지 일대 공연장을 돌던 무명 가수, 포크 붐을 일으킨 혁명가, 포크를 배신한 유다, 1990년대 말 거짓말처럼 부활한 가수, 노벨상 수상.

이 서술은 모두 ‘밥 딜런’이라는 이름으로 향한다. 두 번째로는 소진되지 않는 에너지다. 1941년생으로 70줄에 접어들어서도 대단한 작품들을 발표해왔다. 거인은 영원하다는 것을 자축하는 듯한 앨범 [Tempest](2012), 스탠더드 팝의 전설 프랭크 시나트라(Fran Sinatra)를 돌아본 [Shadows In The Night](2015) 등. 그의 항해는 여유로웠고 풍성했다. 인기나 명성 따위는 예전에 초월한 것 같았다. 신작에서도 한껏 확인할 수 있다. 밥 딜런과 떨어뜨릴 수 없는 메시지 측면에서도 [Rough And Rowdy Ways]는 발군이다.

개별 CD에 따로 수록될 정도로 특별대우를 받은 트랙 ‘Murder Most Foul’에 눈길이 간다. 비틀스(The Beatles), 이글스(The Eagles), 우드스탁, 물병자리의 세대, 앨터몬트 프리 콘서트. 밥 딜런은 1960년대의 영광을 케네디 대통령 암살 서사에 섞어 반죽한다. 의식의 흐름처럼 이야기는 선명하지 않게, 논리적이지 않게 이어진다. 하지만 밥 딜런의 보컬은 그 모든 것을 연결시키는 연금술이다. 16분 54초라는 분량은 지루함과는 거리가 멀다. 언제나 밥 딜런은 마지막 트랙에 힘을 주었다. [Highway 61 Revisited](1965)도 그랬고(‘Desolation Row’), [Time Out of Mind](1997)도 그랬다(‘Highlands’). ‘Murder Most Foul’ 한 곡만으로도 이 앨범은 살 가치가 있다. 벅스가 선정한 2020년 7월 이달의 앨범 선정 작품."
45,20317226,DETOX,BILL STAX(빌스택스),단 한 번도 폼이 떨어진 적 없는 스택스의 랩 퍼포먼스,"우선 말하건대, [Detox]는 올해, 아니 한국대중음악사를 통틀어 손꼽을만한 문제작이다. (한때 바스코라 불렸던) 빌스택스(Bill Stax)의 이번 앨범을 관통하는 주제가 다름아닌 대마초이기 때문이다. 이미 대마초가 몇몇 주에서 합법화되었을 뿐만 아니라 강성마약류와 확실히 구분되는 미국과 달리 여전히 강성마약과 동일시되는 한국이기에 이 같은 주제가 담겼다는 사실만으로도 놀랍다.

미국 힙합에선 흔한 주제지만, 한국 힙합에선 감히 예상할 수 없는 주제다. 그래서 누군가에겐 몹시 불편하고 듣기가 꺼려지는 작품일 수도, 누군가에겐 금기에 도전한 짜릿하고 흥미진진한 작품일 수도 있다. 2018년, 대마초 흡연으로 불구속 입건됐던 스택스는 같은 논란을 불러일으켰던 여느 연예인들처럼 한 발 물러서기보다 정면으로 맞서는 것을 택했다. 법적으로나 윤리적으로 논쟁적인 대마초 이야기를 아예 앨범 한 장을 통해 직접적으로 하고 나선 것이다.

대마초의 대표적인 두 품종, 사티바(Sativa)와 인디카(Indica)를 전면에 내세워 사이드를 나눠놓은 것부터 과감한 시도가 엿보인다. 스택스는 시종일관 본인의 가치관과 성격, 그리고 음악세계에 영향을 끼친 대마초를 찬미하지만, 그 이면엔 의료용으로나 기호용으로써의 대마초 합법화를 향한 열망이 깔려있다. 실제로 그는 음악뿐만 아니라 여러 관련단체와 함께 대마초 합법화 운동을 펼치는 중이다. [Detox]는 그저 자극적인 엔터테인먼트를 위한 작품이 아니라 이 같은 행보의 일환이기도 하다.

물론, 음악적인 완성도도 탁월하다. 한국 힙합 초창기에 등장한 이래 단 한 번도 폼이 떨어진 적 없는 스택스의 랩 퍼포먼스는 오히려 근래 더욱 발전했고, 여러 신예 프로듀서를 대동한 프로덕션은 주제가 자아내는 무드를 훌륭하게 연출했다. 언제가 될지는 모르지만, 한국에서도 대마초 합법화, 혹은 비범죄화가 되는 날, 본작은 지금보다 더욱 높이 평가될 것이다. 더불어 이미 한국대중음악사 최초로 대마초를 주제 삼은 앨범으로서 역사에 기록되어야 한다. 벅스가 선정한 2020년 5월 이달의 앨범 선정 작품."
46,20324540,The Colours,핑크노이즈(Pinknoize),"기분 좋은 리듬 위에서 편안한 음향, 핑크노이즈","핑크노이즈(Pinknoize)는 전자맨의 또 다른 활동명이다. 2007년 ‘로맨틱 카우치(Romantic Couch)’로 데뷔했던 시기부터 되짚어 본다면, 이름은 생소하지만 벌써 14년 차의 중견 뮤지션임을 알 수 있다. 그렇다고 우리가 그의 활약을 모르는 것도 아니다. 공원소녀, 써니힐(SunnyHill), 브라운아이드걸스(Brown Eyed Girls) 등 십 년이 넘는 세월 동안 적지 않은 아이돌 음악의 작곡, 편곡을 담당했다.

국내에서 하우스 음악의 저변이 넓혀지지 않았던 시절부터 댄스/전자음악에 탐구했던 만큼, 장기를 살려 여전히 현역으로 활동 중인 것이다. 활동명을 바꾸는 것에는 여러 가지 이유가 있을 수 있지만, 음악을 들으면 고개가 끄덕여진다. 전자맨의 음악 범위를 일렉트로닉 팝에 기대어 본다면, 핑크노이즈는 확실히 라운지에 가깝다.

보컬 없이 기분 좋은 리듬 위에서 편안한 음향을 분출하고, 사용되는 시퀀서의 범위도 기존보다 더 넓다. 덕분에 다섯 곡의 EP임에도 곡마다 풍성한 소리를 자랑하면서 듣는 귀를 꽉 채운다. 이런 부분은 역시 연륜이 쌓인 뮤지션의 능력이기도 하다. 편곡의 완성도가 남다르니까. 대중적으로 이목 받기 어려운 환경인 건 사실이나, 가치 있는 사운드임은 분명하다. 벅스가 선정한 2020년 6월 이달의 앨범 선정 작품."
47,20320418,Future Voice,히스(Hiss) & Madox,비트박스로 만들어낸 일렉트로닉 사운드,"새로운 소리에 대한 탐구는 그 어떤 장르든, 현대 대중음악에서 가장 집중하고 있는 구역이다. 기존 뮤지션들에게서 듣지 못했던 음향을 펼친다는 것은 그 자체만으로도 음악에 청량한 감각을 가져다줄 수 있기 때문이다. 이런 점에서 아시아 비트박스 챔피언 ‘히스(Hiss)’와 독일 비트박스 챔피언 매독스(Madox)가 만나 탄생한 [Future Voice]는 존재만으로도 ‘새로운 음향’을 안내해 준다.

두 남성의 목소리만으로 만들어낸 앨범은 천편일률적인 소스 사용을 벗어나기 때문이다. 물론 비트박스로 만들어낸 일렉트로닉 사운드가 이번이 처음은 아니다. 히스만 하더라도 작년에 정규 앨범 [Voiss](2019)를 냈으니까. 그러나 혼자서 모든 걸 해결하려 했던 욕심은 트랙을 진행할 때마다 너무나 많은 빈 공간을 제공함으로써 전자음악이 주는 가치를 온전히 느끼기 어려웠던 게 사실이었다. [Future Voice]는 이런 단점을 메꾼 EP라고 볼 수 있다. 이미 비트박서로서 훌륭한 자질을 가진 두 사람이 만나 연주를 펼치니, 컴퓨터로 만든 전자음악과 비교해도 손색이 없을 만큼 탄탄한 소리를 전달한다.

장르가 가진 문법과 새로운 소리가 절묘하게 만나게 된 것이다. 단순히 비트박스를 넘어 대중적 접근을 시도한 ‘Fly away’ 등 인상적인 트랙을 만들기 위한 노력도 전달이 되는데, 확실한 킬링 트랙이 갖춰진다면 우리가 비트박스로 전자음악을 즐겨 듣는 날도 그리 멀지 않을 것이다. 벅스가 선정한 2020년 5월 이달의 앨범 선정 작품."
48,20328158,Future Teenage Cave Artists,Deerhoof(디어후프),팬들이 고대하는 모든 것이 담긴 [Future Teenage Cave Artists],"1994년 샌프란시스코에서 결성된 인디 락 밴드 디어후프. 그간 디어후프는 노이즈 락, 포스트 펑크, 재즈, 사이키델릭 락, 아트 락을 넘나들며 독보적인 사운드스케이프를 그려냈다. 몰아치는 노이즈를 뚫고 나오는 영롱한 팝 선율은 디어후프만의 장기. 그것이 25년 넘게 디어후프를 견인했던 원동력이었다. [Future Teenage Cave Artists]라는 거창한 제목을 가진 앨범은 디어후프의 통산 열다섯 번째 앨범이다. 세 명의 멤버 교체가 있긴 했지만 한 차례의 휴지기도 없이 이런 실험적 음악으로 커리어를 유지해왔다는 건 존경할 만할 일이다. 1/4세기 동안 디스코그래피를 준작 이상의 작품으로 꽉꽉 채워 넣었다는 것 또한.

[Future Teenage Cave Artists]엔 팬들이 디어후프에 고대하는 모든 것이 담겼다. 밴드는 [The Magic](2016), [Mountain Moves](2017)의 텍스처를 모두 포괄한 채, 자유분방한 즉흥 연주의 미학을 더욱 끌어올렸다. ‘Farewell Symphony’가 대표적인 트랙이 될 것이다. 여백과 공간이 잘 활용된 연주는 여전히 곱씹을 만하고 유의미하다. 물론 ‘I Call On Thee’ 같이 서정성이 중시된 트랙도 있다. 종합선물세트다. 기타리스트 존 디에테리치(John Dieterich)와 에드 로드리게즈(Ed Rodriguez), 보컬리스트/베이시스트 사토미 마츠자키(Satomi Matsuzaki), 드러머 그레그 소니어(Greg Saunier). 10년 넘게 지속된 라인업으로부터 나온 사운드엔 흔들림이 없다.

갈피를 잡지 못하고 비틀거리는 것 같다가도 이내 질서를 이루는 음악을 연주한다. 그동안 디어후프의 음악을 주의 깊게 들어 왔다면 알 수 있을 것이다. ‘피치포크’ 등 해외의 유력 음악 매체들은 오래 전부터 디어후프를 ‘최고의 인디 밴드’로 거론해 왔다. ‘미디어 하이프(media hype)’가 없었다 말하긴 힘들지만 이 팀이 지금보다는 조금 더 주목받기를 바란다. 디어후프는 그럴 가치가 있는 밴드이니. 벅스가 선정한 2020년 6월 이달의 앨범 선정 작품."
49,14112620,Fetch The Bolt Cutters,Fiona Apple(피오나 애플),찬사가 쏟아지는 8년 만에 내놓은 스튜디오 앨범,"해외 대중음악 웹진을 보는 사람이라면 [Fetch The Bolt Cutters]가 지금 어떤 반응을 얻고 있는지 잘 알고 있을 것이다. 힙스터 뮤직의 전당 ‘피치포크’는 10점 만점을 선사했고, ‘가디언’, ‘뉴욕 타임스’ 등의 매체들도 너나 할 것 없이 만점을 부여하고 있다. 나올 수 있는 찬사는 다 수확한 [Fetch The Bolt Cutters]는 피오나 애플이 8년 만에 내놓은 스튜디오 앨범이다.

앨범은 결코 편안하거나 평탄하지 않다. [Extraordinary Machine](2005) 이상으로 복잡하다. 애플의 디스코그래피 전체를 뒤져도 최고로 난해한 앨범이라는 데는 이견이 없을 듯하다. ‘슬랜트 매거진’의 코멘트를 덧붙인다. “순수 음악적 차원에서, 이것은 팝 세공의 대담한 실험이자 애플이 새로운 방향으로 재능을 확장하고 있음을 노출하는 노래 모음집”이다.

글쎄. [Fetch The Bolt Cutters]이 ‘새로운 방향의 확장’인지는 논의할 여지가 있지만, 실험의 궁극이라는 점만큼은 확실해 보인다. 범상치 않은 피아노 선율과 광기어린 끝맺음을 보여주는 ‘I Want You To Love Me’, 혼돈의 재즈 팝 ‘Shameika’만으로도 판단이 선다. 앨범의 분위기는 전반적으로 어둡고 날은 바짝 서 있다. 노랫말을 읽어봐도 그렇다.

개인적으로 제일 마음에 드는 ‘Under The Table’의 일부를 보자. “날 압박하지 마, 테이블 아래로 원 없이 날 차 봐. 그런다고 입 닥치진 않아.” 고통스러운 경험으로부터 길어 올린 곡들은 기존의 기호 체계를 부수고 뒤흔든다. 두려울 정도다. ‘Relay’의 분절 리듬은 피오나 애플만이 만들 수 있는 것이다. 이제야 알겠다. 사람에 따라 이 앨범은 피오나 애플의 베스트는 아닐 수 있다. 하지만 뭔가 대단한 것을 조립했다는 건 틀림없다. 벅스가 선정한 2020년 5월 이달의 앨범 선정 작품."
50,975712,Cheers!,Franco Ambrosetti & Friends,하드 밥 트럼페터의 [Franco Ambrosetti & Friends ],"재즈사를 빛내는 모던재즈 리더의 뒤를 잇는 하드 밥 트럼페터 프랑코 엠브로세티가 재즈 인생 60년과 75세 생일을 기념하며 2017년에 발표한 앨범이다. 오랜 세월 함께 활동했던 동료들이 대거 참여해 축하의 의미를 더 하고 있다. 프랑코 엠브로세티는 스위스 루가노 태생으로 색소포니스트인 아버지 플라비노 엠브로세티와 함께 아주 어린 나이인 9세부터 연주를 한 신동이다. 스위스를 대표하는 재즈 피아니스트 조지 그룬츠와 드러머 다니엘 위메르와도 팀을 꾸렸으니 타고난 재즈 아티스트이다. 타고난 재능으로 프랑코 엠브로세티는 트럼펫을 독학으로 익혔는데 재즈 외에 30년 가까이 정밀기계를 만드는 가족 기업인 엠브로세티 테크놀로지를 이끄는 사업가이기도 했다.

가업을 정리한 후 재즈에 좀 더 몰입해 앨범을 다작하고 있다. 이번에 소개되는 [Cheers!] 외에도 [The Nearness of You]와 [Long Waves]를 1년에 한 장씩 발표하고 있다. [Cheers!]는 앨범 명처럼 축하하는 의미가 있다. 그래서 출연진도 여러명인데 유리 케인, 안토니오 파라오, 그렉 오스비, 잭 디조넷, 존 스코필드 등이 있다. 마일즈 데이비스를 비롯해 수많은 트럼페터가 연주한 ‘Autumn Leaves’가 첫 곡으로 연주된다. 반복되는 베이스 리프 위를 가르는 뮤트 트럼펫 연주는 자연스럽게 마일스 데이비스를 닮았다. 현존하는 트럼페터 중 그의 영향력에서 벗어나는 아티스트는 없을 텐데 프랑코 엠브로세티는 동료와 이를 즐기듯 연주한다.

자작곡인 ‘No Silia, No Party’가 이어지고 ‘I’m Glad There Is You’ ‘Bye Bye Blackbird’ 등이 이어진다. 디즈니 애니메이션 <백설 공주>의 주제곡 ‘Someday My Prince Will Come’은 특별히 마일즈 데이비스와 인연이 있는 곡이다. 자신의 부인을 커버 모델로 해서 앨범까지 발표했으니 이 곡은 재즈에서만큼은 마일즈의 지분이 크다 할 수 있다. 프랑코도 잔잔하게 연주한다. 마지막 곡 ‘Body And Soul’까지 다 듣고 나니 동년배로 유럽을 대표하는 트럼페터 엔리코 라바가 떠오르기도 한다. 벅스가 선정한 2020년 5월 이달의 앨범 선정 작품."
51,14072833,A Billion Heartbeats,Mystery Jets,밴드의 다채롭고 견고한 음악성이 보이는 앨범,"영국 런던 출신으로 2003년에 결성된 인디 락 밴드 미스터리 젯츠는 2006년부터 2012년까지 2년 간격으로 부지런히 정규 앨범을 발표했지만 큰 주목을 받지는 못했다. 포스트 펑크와 브릿 팝, 모던 락 등 다양한 장르를 섭렵한 자유분방한 음악성을 내세웠던 이들의 초기작들은 분명 주목할만한 실력을 내보였지만 무언가 자신들만의 뚜렷한 정체성이 부족하다는 느낌을 지울 수 없었다. 네오 사이키델릭과 프로그레시브 락 장르로 음악적 스케일을 확장한 전작 [Curve Of The Earth](2016)는 밴드가 데뷔 10년 만에 비로소 차트에서의 호성적과 더불어 비평적으로도 찬사를 받으면서 커리어의 전환점을 마련한 역작이었다.

미스터리 젯츠는 4년 만의 신보이자 6번쨰 정규 앨범 [A Billion Heartbeats]에서 대기만성형 밴드의 거침없는 행보를 이어간다. 개러지 풍의 거칠고 강렬한 하드 락 오프닝 ‘Screwdriver’와 ELO와 퀸(Queen)의 영감을 불러오는 네오 사이키델릭 트랙 ‘Petty Drone’, 리드미컬하고 영롱한 사운드의 미학을 펼쳐내는 ‘History Has Its Eyes On You’와 전작의 킬링 발라드 ‘Telomere’의 감성을 잇는 ‘Cenotaph’ 등 전작에서 비로소 발현된 밴드의 다채롭고 견고한 음악성이 앨범을 풍성하게 채운다.

또한 최근 몇 년간 사회문제와 정치적 혼란을 겪고 있는 영국의 상황에 대한 날카롭고 통찰력있는 가사를 통해 앨범의 주제의식을 강조하고 있는데, 그래서 그런지 때때로 U2의 보노(Bono)가 연상되는 블레인 해리슨(Blaine Harrison)의 보컬은 다분히 의도적이고 호소력 있는 효과를 발휘한다. 냉정하게 말해서 창작의 아이디어와 음악적 형식미라는 측면에서 전작보다 훌륭하다고 말할수 없을지도 모르지만, 테임 임팔라(Tame Impala)의 [The Slow Rush]가 그랬던 것처럼 스펙트럼의 확장보다는 전작의 장점을 그대로 가져오면서 디테일한 음악적 깊이에 충실한 결과물이다. 무엇보다도 이전에는 드러내지 않았던 정치적 가치관의 표출, 동시대적인 고민과 서사를 담아내고 있다는 점에서 밴드의 음악적 명분과 정체성을 분명히 하는 작품이다. 벅스가 선정한 2020년 5월 이달의 앨범 선정 작품."
