,album titles,artists,review titles,reviews
46,Story Haven't Told You Yet,강윤미,우아하게 울리는 재즈보컬 강윤미의 데뷔작,"벅스가 선정한 2015년 11월 이달의 앨범 선정 작품. 피아노를 치며 노래하는 강윤미의 라이브를 볼 때마다 앨범을 재촉하곤 했는데 드디어 그녀의 데뷔작이 나왔다. 독일 브레멘 국립음대에서 클래식 피아노를 전공한 후 재즈보컬로 선회한 독특한 이력을 가지고 있는데 그래서 강윤미는 해외에서도 보기 드문 피아노와 보컬 모두를 완벽히 구사하는 아티스트이다.

유럽의 긴 유학 생활에서 녹음한 곡과 한국에 돌아와 만든 창작곡을 더해 8곡이 담긴 [Story Haven't Told You Yet]을 발표하고 있다. 꼭 악기를 연주해야 보컬의 정교함을 구축하는 것은 아니지만 강윤미의 노래를 들으면 예상을 빗겨나는 멜로디 라인이 자연스럽고 아름답게 이어지고 있음을 느낀다.

특히 스탠더드에서 보여주는 여유로운 스윙과 화려한 비밥 스캣은 군더더기 없이 날렵하다. 앨범에는 두 곡이 창작곡이 있는데 청아한 일렉트릭 피아노로 시작하는 ‘Thought About You After Coffee’가 담백하게 들린다. 잔잔한 인상주의 스타일의 피아노 코드를 바탕으로 콘트라 베이스가 더해지는 듀오 편성으로 우아하게 울리는 그녀의 목소리가 포근하다."
47,Da Capo,토이(Toy),처음부터 다시,"말 장난 같지만, '처음부터 다시'와 '처음부터 다시 시작하다'는 다른 말이다. '처음부터 다시'는 한 해를 보내는 겨울 한 가운데에서, 달력이 바뀌는 내년을 향해 앉아 하는 말이고, '처음부터 다시 시작하다'는 새로운 새해를 맞이해, 새 다이어리나 새 플래너를 펴고 야심차게 발을 굴러 일어나며 하는 말이다.

언제나, 예능에서 볼 때마다, '어쩔 수 없겠지...' 하는 마음으로 그를 본다. 물론 난 토이와는 일면식도 없다. 그의 음악을 들으면, 우울 찌질 발라드와는 거리가 있어 보인다. 오히려 아쉬움이 더 크다. 그런 그의 이번 앨범은, 한 해를 보내는 어느 날, 마침 그 날 동창회가 있었거나 해서 예전에 알 던 사람들, 지금 함께 시간을 공유하는 사람들과의 모임이 있던 날이다. 그래서 자신을 다시 바라보게 된 날에 생각한 내용들이 이 앨범에 담긴 듯하다.

이럴 때는 창 밖을 보는 일이 많다. 창 밖도 보고, 어둑해진 밖 풍경 때문에 유리에 비친 나를 쳐다보게도 된다. 그리고는 종이 위에 마음 가는 대로 펜을 끄적이게 된다. 반성도 하고 아쉬움도 되뇌이고 하면서. 그리고는 앞으론 어떻게 살 지 한다."
48,Only Built 4 Cuban Linx...,Raekwon(랙원),우탱 클랜 크루의 첫 솔로 데뷔작,"‘<롤링스톤>이 선정한 역대 베스트 앨범 500선’중 480위. 한때 이스트코스트 힙합 씬을 씹어먹었던 힙합 군단 우탱 클랜(Wu-Tang Clan)의 일원이자 1970년 1월 12일 미국 뉴욕 태생의 래퍼 랙원(Raekwon)이 1995년에 발표한 솔로 데뷔앨범이다. 솔로앨범이긴 하나 우탱 크루의 지원사격 속에 이루어진 앨범이라 크게 생경하지는 않다. 프로듀서엔 르자(RZA)가 참여했고, 피처링에는 유카드(U-God), 카파돈나(Cappadonna), 고스트페이스 킬라(Ghostface Killah), 인스펙타 덱(Inspectah Deck), 메소드 맨(Method Man) 등 우탱 멤버들의 전폭적인 참여가 이루어졌다.

발매 당시 13만 장의 오프닝 세일즈로 빌보드 앨범 차트 2위로 데뷔했다. 빌보드 핫100 싱글 히트곡으로는 ‘Criminology’(43위)와 ‘Ice Cream’(37위) 등 2곡의 Top 40 히트곡을 배출했고, 이후 힙합계 명작으로 손꼽히는 제이 지(Jay-Z)의 [Reasonable Doubt](1996)나 노토리어스 비아이지(Notorious B.I.G.)의 [Life After Death](1997) 앨범에 적지 않은 영향을 주기도 한 작품으로 알려져 있다."
49,Polarfront (폴라프런트),POLARFRONT(폴라프런트),"다양한 장르의 결합, 편안한 그루브의 일렉트로니카","벅스가 선정한 2015년 11월 이달의 앨범 선정 작품. 새롭다기보단 기존의 질서와 풍습이 모두 녹아 있다고 보는 게 정확하다. 음악은 여성 보컬의 조합과 함께 딥 하우스라는 큰 그림을 그리고 있지만, 근래 전자음악의 트렌드를 충실히 따르듯, 트랜스 등 다른 장르와의 결합을 조금씩 시도하며 입체적인 음향을 표현하려 노력했다.

여기서 인상적으로 봐야 할 것은, 과한 욕심은 내지 않았다는 점이다. 브레이크 다운을 시도하며 분위기 전환을 꾀하려 했으나, 그 간격과 호흡을 짧게 받아들이며 곡이 주는 편안한 그루브를 헤치지 않는다. 건반 리프와 멜로디도 호감 갈 수밖에 없는 디자인. 몇 년 전 익숙하게 머물렀던 전자음악 스타일을 지금의 시간으로 재해석한 느낌을 전달한다.

아마도 이러한 시도가 가능한 건, 서른이란 나이로 다른 작곡가에 비해 등단이 느렸던 데뷔 시기 덕분일 것이다. 뒤를 돌아볼 것이 더 많은 그의 경험이 세련된 일렉트로닉 음악을 완성했다."
50,In The Clouds,Grant Harrison,홈카페를 완성시키는 달콤한 목소리! 그랜트 해리슨,언더그라운드를 무대로 활동을 펼치고 있는 미국 인디 싱어송라이터 그랜트 해리슨! 딱 여섯 곡만 들어간 미니앨범이라는 것이 안타까울 정도로 취향저격하는 달달한 어쿠스틱 팝으로 가득찬 앨범이다. 나는 우연치않게 카페에서 흘러나오는 'In The Clouds'(1번 트랙)을 듣고 반해서 카페 직원분에게 직접 물어보아 알게 되었을 정도로 제이슨 므라즈를 연상시키는 감미로운 목소리와 잔잔한 기타 연주가 인상적이다. 유명 어쿠스틱 가수들과 비교해도 전혀 손색이 없을 정도로 편안하게 감상할 수 있는 멜로디와 재생하면 흘러나오는 어쿠스틱 기타와 피아노 간주만 들어도 자연스레 커피향이 생각나는 노래들이다. 특히 마지막 트랙 'Happy'는 노래 제목 만큼이나 귓가를 달콤하게 적시는 사랑스러운 트랙이다. 거실 한쪽에 잔잔하게 틀어놓으면 요즘 유행하는 홈카페를 이미 반은 꾸려놓은 것처럼 달달구리하다. 잘 알려지지 않은 보물같은 아티스트의 정말 괜찮은 앨범이기에 강력하게 추천해본다!
51,Reflection (10주년 기념 앨범),송영주,"한국 재즈의 미래 송영주, [Reflection]","벅스가 선정한 2015년 11월 이달의 앨범 선정 작품. 1년, 아니 몇 달만 밖에 나갔다 와도 도심은 물론 동네골목까지 변하고 있으니 10년이면 천지개벽이 몇 번을 일어날 세월이다. 이런 초고속 시대에 한 가지 일을 10년 동안 지치지 않고 한 눈 팔지 않고 했다면 그것만으로도 충분히 존중 받아야 하고, 거기에 결과물의 내용까지 수준 이상이라면 시대의 명품이 되는 것이다. 송영주의 신작 [Reflection]은 10년만의 10번째 앨범으로 그녀의 음악적 고집과 성실함을 숨김없이 보여주는 증거물이다. 단순히 추억을 회상하는데 그치지 않고 그동안 발표한 곡 중 ‘Tale Of A City’, ‘Between’, ‘Window View’, ‘Turning Point’ 등 9곡을 새로운 방식으로 연주하고 있다.

미국에서 모든 과정이 이루어졌는데 특히 트롬본 연주자이자 실력파 편곡가로 미국 재즈신에서도 주목 받고 있는 앨런 퍼버(Alan Ferber)가 편곡에 참여해 놀라운 사운드를 들려주고 있다. 빅밴드보다 편성이 작은 것을 라지 앙상블(Large Ensemble)이라 하는데 거장들도 연주와 편곡에 어려움이 있어 쉽사리 시도하지 못하는 편성이다. 송영주는 자신의 곡만으로 거침없이 밀어붙여 기존의 곡에 새로움을 부여하고 있으며 앙상블 자체도 완벽하다. 개인적 과욕인지 모르지만 송영주의 [Reflection]은 그래미 ‘Best Large Jazz Ensemble Album’ 후보에 오를 충분한 조건을 갖고 있는 앨범이다. 이제 그럴때가 되었다."
52,Automatic,Kaskade(캐스케이드),"2년만에 돌아온 케스케이드, [Automatic]","벅스가 선정한 2015년 10월 이달의 앨범 선정 작품. 현재 케스케이드의 활동 성과는 정점에 올라온 상태다. 그는 두 장의 스튜디오 앨범 [Fire & Ice](2011)와 [Atmosphere](2013)를 모두 [그래미 어워즈] 후보에 올렸고, 2015년에도 'Top 100 DJ'에 당당히 이름을 남겼다. 이런 그가 다시 한 번 2년 만에 신보 [Automatic]을 발표했으니, 관심을 가져줘야 하는 건 자연스러운 태도다. 안타깝게도 현재 [Automatic]에 대한 영미권의 시선이 만장일치가 아닌, 극단적으로 갈리는 상황을 맞이했지만, 앨범의 첫 트랙인 'We Don't Stop' 만큼은 호불호가 나뉘기 어려운 트랙임을 알 수 있다.

곡은 케스케이드의 음악을 떠올릴 때면 빠질 수 없는 강점들이 포함돼있다. 유독 중독적인 기타 리프를 심어 놓는 것은 물론이고, 프로그레시브 하우스 영역에서 집중적인 활약을 펼치면서도 '과도하지 않은' 편곡으로 듣는 이를 편하게 만든 기법이 주조됐다. 첫 스튜디오 타이틀곡인 'It's You, It's Me'(2003)를 떠올려본다면, 'We Don't Stop'에 대한 연결이 자연스러움을 느낄 수 있을 것이다. 똑같은 노래란 말이 아니다. 세월에 맞춰 음향의 질감과 분위기가 조금씩 변화된, 그의 2015년 플래그십 곡이라고 할까. 반가우면서도 만족스러운 곡이다."
53,In The Lonely Hour (Drowning Shadows Edition),Sam Smith(샘 스미스),"향긋한 성공의 냄새, 샘 스미스","향긋한 성공의 냄새 Sweet Smell Of Success
영국 출신 싱어송라이터 샘 스미스(Sam Smith)의 성공은 아직도 좀 비현실적인 느낌이다. 작년 봄에 데뷔 앨범 [In The Lonely Hour]를 갓 내놨을 때만 해도 몇 번의 적절한 스텝을 차근히 잘 밟아온(성공 직전의 뮤지션들이 공통적으로 보이는 상승세의 조짐) 신인이 자신의 가장 솔직한 심경을 자신이 가장 잘 하는 틀에 넣어 공개한 참이라, 분명 기대되는 부분이 있긴 했다. 근데 그게 이 정도까지일 줄은 몰랐다. 브릿 어워드(3개 부문), 빌보드 뮤직 어워드(3개 부문), 그래미 어워드(4개 부문)에서 노른자위 수상을 이어갔고, 영국 앨범 차트 1위 미국 빌보드 앨범 차트 2위에 오르며 전 세계적으로 8백만 장 이상의 판매고를 기록했으며, 69주 연속 UK 앨범 차트 Top 10에 오르며 비틀즈(Beatles)와 에밀리 산데(Emeli Sande)의 기록을 넘어섰다. 한때 목에 무리가 왔을 정도로 쉼 없이 공연과 매체 출연을 이어가며 스스로 입지를 끌어올렸고, 이제는 새로운 007영화 [스펙터]의 주제가 ‘Writing's On The Wall’로 영국 차트 1위와 기네스북에 오르는 경지에 이르렀다. 약 1년 반 정도의 시간 동안 일어난 변화의 규모가 절대 작지 않았다.

샘 스미스 스스로 “전부 짝사랑에 대한 것”이라 밝힌 앨범의 수록곡들은 그의 목소리와 결합하면서 불멸의 세레나데 모음집처럼 되었다. 여기에 앨범 발표 직후 커밍아웃한 그의 섹슈얼리티가 더해지면서 한 번 반전이 가해지지만, 대중은 흔들리지 않고 그의 노래가 가진 보편적인 사랑의 힘에 감응해주었다. 그래미 시상식장에서 수상 소감을 말할 때 그는 앨범 대부분 곡의 소재가 되었던 문제의 남성에게 “이렇게 되고 보니 나에게 실연의 아픔을 준 그분에게 감사한다”고 말할 만큼 여유도 되찾았다. 그렇게 말했다고 해서 ‘Stay With Me’ 나 ‘Lay Me Down’이 가진 애절함이 깎이는 것도 아니다. 어떻게 보면 이것저것 욕심을 부려 많은 걸 시도할 수도 있었던 대망의 데뷔작을, 저렇게 초지일관 솔직한 실연가와 상심의 발라드로만 채운다는 게 무모한 용기였을 수도 있었건만, 그 솔직함과 진정성이 결국은 대중의 마음을 사는 진짜 밑천이었음을 샘 스미스가 증명한 셈이다.

2015년이 끝나가는 시점에서 샘 스미스는 [In The Lonely Hour]의 ‘Drowning Shadows’ 에디션을 공개한다고 밝혔다. ‘Latch’로 그에게 성공의 문을 실질적으로 열어주었던 영국의 거라지 하우스 듀오 디스클로저(Disclosure)의 새 앨범 [Caracal]에 ‘Omen’이란 또 다른 탁월한 싱글로 참여한 것과 전술한 007 주제가를 빼면 새로운 음원에 대한 기대는 이제 미래에 나올 2집 새 앨범에 오롯이 실어놔야 할 지금 시점에서, 이는 그가 팬들을 위해 마련한 마지막 선물이자 [In The Lonely Hour] 앨범의 여정을 드디어 마무리하는 고별행진 같은 음반이다. 원래 [In The Lonely Hour]의 수록곡인 열 곡에다 딜럭스 에디션의 보너스 트랙이었던 네 곡, 그리고 이번 더블 앨범 에디션에 타이틀을 부여한 신곡 ‘Drowning Shadows’를 포함한 아홉 곡의 추가 곡 포함 총 스물세 곡을 이번에 들을 수 있다.

샘 스미스가 펍에서 아르바이트를 하던 시절, 그는 작곡 파트너 지미 네입스(Jimmy Napes) 등과 함께 ‘Lay Me Down’을 만들어 데모를 녹음했고, 이 녹음이 디스클로저의 귀에 들어가 그들의 앨범 [Settle]에서 ‘Latch’를 부르게 되었다. ‘Latch’의 성공이 다시 인기 프로듀서 너티 보이(Naughty Boy)의 눈에 띄어 그의 앨범 [Hotel Cabana]에서 커트된 싱글 ‘La La La’에도 피처링으로 참여하여 차트 1위를 기록했다. 이 두 번의 제대로 된 콜라보레이션으로 그가 마침내 [In The Lonely Hour]의 기회를 얻게 된 걸 생각하면, 이 곡들이 어떤 형태로든 보너스 트랙들로 함께 실려있는 게 이상하지 않다. (최근의 디스클로저 콜라보 곡 ‘Omen’도 어쿠스틱 버전으로 실렸다.) ‘Nirvana’는 아직 앨범이 나오기 전에 공개했던 동명 EP의 타이틀 곡으로, ‘Latch’의 어쿠스틱 버전도 이 EP에서 원래 선보였던 곡. 그리고 이번 ‘Drowning Shadows’ 에디션에는 앨범의 히트곡들을 색다르게 접할 기회도 주어지는데, 에이셉 라키(A$AP Rocky)의 랩이 피처링된 ‘I'm Not The Only One’, 존 레전드(John Legend)와 함께 부른 ‘Lay Me Down’, 메리 제이 블라이즈(Mary J. Blige)와 함께 부른 ‘Stay With Me’가 그것(들)이다. 특히 메리 제이 블라이즈는 [London Sessions]란 이름으로 아예 디스클로저/샘 스미스 연관 프로젝트를 따로 앨범화한 전력도 있어 이 만남이 낯설지가 않다. 이 콜라보 트랙들은 이미 디지털 싱글 등의 형태로 기 발매된 곡들이다.

흥미로운 커버 곡도 있다. 에이미 와인하우스(Amy Winehouse)의 ‘Love Is A Losing Game’, 그리고 휘트니 휴스턴(Whitney Houston)의 ‘How Will I Know’다. 샘 스미스가 어린 시절부터 여성 가수들의 노래를 꾸준히 들어왔다는 건 많이 알려진 사실인데(그의 음역에도 시사하는 바가 있는 취향), 그때 자주 언급되었던 것이 휘트니 휴스턴과 샤카 칸(Chaka Khan) 같은 가수들이었다. 그리고 에이미 와인하우스는 아델(Adele)과 함께 그가 존경한다 언급한 적이 있는 가수이고, 최근의 공연들에서도 그녀의 ‘Tears Dry On Their Own’을 부른 바 있다. 그 외 ‘Restart’는 BBC 라디오 디제이로 더 유명한 제인 로(Zane Lowe)와 함께 작곡한 곡이며, ‘Make It To Me’는 그가 라이브 때 덧붙인 설명에 따르면 미래의 소울 메이트에게 주는 자신의 연애편지라고.

하지만 이 모든 보너스 트랙들 중에서도 이번 더블 앨범을 가능하게 한 ‘Drowning Shadows’를 빼놓을 수 없다. 그가 애절한 노래에 일가견이 있다는 건 일찍이 알고 있었지만, 그중에서도 이 곡은 강도가 높다. 이 노래의 화자 역시 샘 스미스 자신이라고 생각하면, 묘사의 디테일 하나하나가 체험의 기록이 아닐까 싶을 만큼 리얼하다. 이제는 슈퍼스타가 되었지만 진정한 사랑을 만나지 못한/못하는 공허함은 그 때문에 더 깊고 크게 덮칠지도 모르는 일이다. 술에 기댈 수밖에 없는 외로운 누군가의 연가, 슬프고도 필사적인 러브 발라드다.

‘Latch’의 매디슨 스퀘어 가든 라이브는 사실상 이번 보너스 트랙 중의 씬스틸러로서, 생각지 못한 기쁨을 준다. 솔로 공연 때 그가 이 곡을 슬로우 템포로 편곡하는 건 전혀 이상할 게 없고 또 자주 보여준 모습이기도 하지만, 올해 1월에 매디슨 스퀘어 가든에서 이 곡을 그렇게 노래하던 샘 스미스는 중간에 곡을 끊는다. 그리고 “이들 없이는 매디슨 스퀘어 가든에서 공연을 못하겠다”며 무대 위로 올라온 깜짝 게스트를 소개한다. 그리고 결론: 그와 디스클로저와의 협연은 언제나 옳다.

앨범 재킷도 원래 앨범 버전과 비교하면 조금 다르다. 분명 똑같은 포즈를 취하고 있지만, 그는 좀 더 보기 좋고 날씬한 모습이며, 앳된 기가 많이 가셨다. 이 장면 하나만으로도 [In The Lonely Hour]로 그가 얼마나 많은 것을 이루고 남기며 쏟아냈는지, 그 여정의 길이와 폭을 실감할 수 있다. 그는 이번 앨범이 팬들에게 주는 선물이라고 했지만, 그것만큼이나 자신에게 주는 자축의 기념품이기도 할 것이다. 그의 청춘의 가장 서툰 시기이자 빛나는 시기가 바야흐로 이렇게 뿌듯한 엔딩을 맞는다. (글:성문영)"
54,Third/Sister Lovers,Big Star(빅 스타),아련한 멜로디로 옛 향수를 자극하다!,"영국 음악은 물론 인디록과 인디팝에 대해 관심을 조금이라도 기울이는 이들이라면 빅 스타의 이 앨범은 꼭 한 번은 들어봐야 할 작품이라는 점을 알게 될 것이다. 그럼에도 이들은 1970년대에 맹렬하게 활동하며 제대로 가치를 인정받지 못한 여러 비운의 그룹 가운데 가장 먼저 떠오르기도 한다. 현세가 아닌 후세에 더 인기를 얻어낸다는 표현이 맞겠다. 빅 스타의 데뷔 앨범에 대해 빌보드지에서는 “비틀스(Beatles)의 멜로디에 롤링 스톤스(Rolling Stones)식 블루스를 섞고 약간의 사이키델리아를 곁들인 조합물로써 모든 트랙이 싱글 커팅감이다”는 찬사를 남긴 바 있다. 팝과 록음악의 매력을 동시에 포함하면서도, 이질적인 음악이라 할 수 있는 장르라 할 수 있는 파워팝의 선구자로도 기억되고 있는 빅 스타의 음악은 R.E.M과 틴에이지 팬클럽(Teenage Fanclub), 더 포지스(The Posies) 등 후배 뮤지션들에게도 큰 영향을 끼쳤다.

빅 스타는 알렉스 칠튼(Alex Chilton)이라는 뮤지션으로 집중된다. 컬트의 영웅이라 할 만한 알렉스 칠튼은 1960년대 팝그룹 박스 탑스(The Box Tops)에서 성공을 맛 본 이후 스스로 스타덤을 등진 채 무명의 길 속에서 크리스 벨(Chris Bell)과 함께 빅 스타를 결성하며 음악이 배인 진정한 팝록을 구사하기 시작했다. 빅 스타의 재결성 이전까지 마지막으로 기억되고 있는 앨범 [Third(Sister Lovers)]는 엄밀히 알렉스 칠튼의 솔로 작품이라고 인정해도 무관하다. 1집 이후 탈퇴한 크리스 벨의 [I Am The Cosmos]를 전후해서 발매된 이 앨범에는 벨벳 언더그라운드(Velvet Underground)의 넘버인 ‘Femme fatal’을 비롯한 5곡의 리메이크 곡 외에 모든 곡을 알렉스가 작곡하고 노래를 담당하고 있다.

빅 스타의 [Third/Sister Lovers]는 일편 건조함이 짙고, 우울함의 맥이 큰 작품으로 평가받기도 한다. ‘Big Black Car’, ‘Kangaroo’에서 느껴지는 환각성은 거의 질식 수준이다. ‘Thank You Friends’는 상승하는 코러스가 있는 즐거운 업템포 록이고, ‘Stroke It Noel’은 그 불완전한 멜로디와 사랑스러운 현악 섹션을 앞세워 듣는 이의 마음을 서서히 빼앗는다. ‘Big Black Car’는 천천히, 그리고 느리게 굴러간다. 그 느림의 효과는 무디지만, 매우 중독성이 깊다. 수록곡 가운데 황망함의 끝을 보는 듯 한 ‘Holocaust’와 ‘Kangaroo’는 4AD 레이블을 통해 후배 그룹 디스 모르탈 코일(This Mortal Coil)에 의해 리메이크되기도 했다.

롤링스톤즈지 선정 ‘역대 베스트 앨범 500선’ 가운데 456위를 차지한 이 앨범 외에도 빅 스타는 [Radio City]와 [#1 Record]를 각각 403위와 438위에 랭크시켰다. ‘Blue Moon’과 함께 아련한 멜로디의 향수가 서럽게 젖어드는 ‘Take Care’는 미국의 얼터너티브록 그룹인 요 라 탱고(Yo La Tengo)가 2003년 [Summer Sun] 앨범에 리메이크해서 수록하기도 했다. 한편 알렉스 칠튼이 박스탑스를 탈퇴한 이후 빅 스타를 결성하기 이전에 만들었던 솔로 세션 음반 [""Free Again: The ""1970"" Sessions]는 2012년 재발매되며 빅 스타는 다시금 음악 팬들에게 회자되기도 했다."
55,굴절률,이스턴 사이드킥(Eastern SideKick),"신선하고, 신나고, 또 신나는 그들의 두번째 앨범. 이스턴 사이드킥","이스턴 사이드킥을 두고 개러지락(garage rock)을 하는 밴드라고 한다. 좋은 환경이 갖추지 않았지만 좋은 음악을 만드는 음악의 한 장르를 그렇게 부른다고 한다. '-한다'라는 종결어로 두 문장을 쓴 이유는 내가 들은 그들의 음악은 개러지락이라는 단어로만 설명되기에는 굉장히 부족하다고 생각했기 때문이다. 이스턴 사이드킥의 음악을 듣고 나같은 사람이 어! 개러지락이야! 라고 말할리가 전무하다. 하지만 그들의 음악은 다른 밴드의 음악보다 더 개성이 있다고 말하고 싶다. 어디서 많이 들어본 것 같았던 여타 밴드들과 달리 음악색이 뚜렷했다.

그들의 음악색은 어딘가 모르게, 왜인지 모르게, 동양적인 멜로디와 한번 듣고는 절대 알 수 없는 가사를 통해 나타난다. 특히 이번 앨범의 '낮'은 공연장에서 처음 듣고 유투브에 업로드된 영상을 몇번이고 들어봤던 노래여서 음원으로 나오기를 간절히 기다렸다. 시작하는 도입부가 이전보다 강렬하고 화려한 소리로 채워진다. 화난듯한 보컬의 목소리가 굉장히 또박 또박 들리며 무언가를 조롱하는 듯 울린다.'낮'의 시작 부분이 너무 좋아서 듣다가 이사킥의 영상과 함께 보니 더 좋았다.

그리고 요즘 반복해서 듣고 있는 곡은 '88'이다. 이 곡은 멜로디도 참 좋지만 가사가 들으면 들을수록 좋아서 자주 듣게 되는데, 외롭게 켜져있는 가로등과 어두운 밤의 풍경이 그려진다. 외로운 드럼 소리와 함께 노래는 시작하고, 생각보다 어두운 밤에 생각보다 외롭고 힘들게 빛을내는 사람들과 가깝게는 내자신이 떠올랐던 노래다. 음원도 좋지만 이스턴 사이드킥의 공연을 본 사람들이라면 그들의 팬이 될거라 확신한다. 공연장을 꽉 채우는 소리와 합이 기대 이상으로 너무 좋으니 이 앨범이 마음에 드신다면 공연장을 찾아가보는 것도! 너무 신선하고, 신나고, 또 신나는 경험일테니."
56,Good Girl,Julian Moon(줄리안 문),한번 들으면 반하게 될 사랑스러운 어쿠스틱,"미국의 싱어송라이터 줄리안 문의 데뷔 앨범. 싱어송라이터 어머니를 둔 줄리아 문은 어려서부터 자연스럽게 음악적 환경에 노출되었다고 한다. 하지만 부모님과 같은 '싱어송라이터'가 되는 것이 싫었다고 하는데, 그랬던 그녀가 마음을 바꾸고 이렇게 데뷔앨범을 낸 계기는 우연치않게 제이슨 므라즈가 라디오에서 부르는 'The Remedy' 덕분이라고. 아버지가 가르쳐준 기타로 그의 곡을 연습하면서 뮤지션으로서 공연을 시작했다고 한다. 노래를 들어보면 알겠지만 이런 송라이터로서의 탁월한 능력을 갖고 있는 그녀가 만약 전공을 따라서 영화인이 되었다고 하면 너무 안타까웠을 것 같다. 달달한 멜로디의 어쿠스틱 팝을 좋아한다면 절대 놓치면 안될 신인의 등장이다."
57,Only Way Is Up (Deluxe),K Camp(케이 캠프),"올해 주목해야 할 힙합씬의 신인, 케이 캠프","벅스가 선정한 2015년 10월 이달의 앨범 선정 작품. 베테랑 랩 스타들이 즐비한 가운데, 재능 있는 신예들 또한 품고 있는 애틀랜타는 확실히 2000년대 메인스트림 힙합의 중심지다. 올해 미 힙합 매체들로부터 주목해야 할 신인 중 한 명으로 선정된 바 있는 케이 캠프(K Camp) 역시 대세의 도시로부터 등장했다. 그는 사실 인상적인 주제를 다루는 편도, 랩이 특출난 편도 아니다. 적당히 세련된 비트 위에서 오늘날 많은 애틀랜타 출신 랩퍼들처럼 허슬, 파티, 돈 관련 얘기들이 이어진다. 하지만 케이 캠프는 (때때로 노래의 경계까지 넘나들며) 중독적인 후렴구와 멜로디를 짤 줄 알고, 확실한 방향성을 바탕으로 탄탄한 프로덕션을 구성할 줄 안다.

‘Change’는 이러한 장점이 잘 담긴 그의 첫 번째 정규작 [Only Way Is Up]에서 가장 귀를 잡아끄는 곡이다. 차분하게 깔린 808드럼이 트렌디한 리듬 파트를 형성하고, 신시사이저가 만들어내는 애잔한 멜로디가 어우러져 연출된 멜랑콜리한 무드 속에서 케이 캠프는 능숙한 더블 타임 플로우로 곡을 주도한다. 게스트 제레미(Jeremih)의 선 얇은 보컬도 궁합이 좋다. 그야말로 트랩 뮤직(Trap Music)의 감성적인 측면이 잘 구현된 곡이라 할만하다."
58,트와일라잇: 다시 시작되는 신화 - 브레이킹 던 Part.1 (Twilight Saga: Breaking Dawn - Part.1),Various Artists,영화보다 인상 깊고 달달한 <브레이킹 던 Part.1> OST 앨범,"<브레이킹 던 Part.1>은 영화 <트와일라잇> 시리즈 중 네번째 영화인데요. ‘Part.1’ 과 ‘Part.2’ 로 나뉘어져 있어요. 벌써 이 영화가 개봉한지도 4년이 되어가네요. <트와일라잇>으로 시작해 <이클립스>,<뉴문> 등의 시리즈를 내놓으며 인기몰이를 한 판타지 로맨스물이죠. 기대가 많았던만큼 <브레이킹 던 Part.1>은 아쉬움을 남긴 영화였지만 OST 앨범만큼은 기대이상, 아직도 듣고 있는 명곡들이 많아요. 좀 더 로맨스에 치중한 편이었기에 감성적인 사운드 트랙이 많이 실린 것 같아요.

브루노 마스(Bruno Mars), 크리스티나 페리(Christina Perri) 등의 유명한 가수들과 너무 매력적인 가수들이 대거 참여한 앨범이예요. 작곡과 멜로디 라인도 정말 좋지만 보컬의 개성적인 목소리와 가창력은 영화를 뛰어넘는 완성도 높은 앨범을 만들어 준 것 같아요. 이 앨범의 타이틀 곡인 'It Will Rain'은 브루노 마스 특유의 감성을 자극하는 달달한 목소리와 부드러운 멜로디 라인이 조화로운 곡이예요. 잔잔한 것 같으면서도 풍부한 감수성을 느낄 수 있는 곡이랍니다. 인기를 끌었던 크리스티나 페리의 'A Thousand Years'는 담백하고 순수함이 느껴지는 목소리와 기타 소리가 딱 가사 내용 그대로 사랑을 찬찬히 하지만 진지하게 고백하는 분위기의 노래예요. 영화 내용과도 맞물려서 더욱 더 곡에 몰입하게 되는 것 같아요. 로맨틱한 분위기의 곡이라기 보다는 담담하게 사랑의 의미를 담은 것 같은 느낌이 드는 노래라 계속 듣고 있을 수록 감상에 젖어들게 되는 것 같아요.

'I Didn't Mean It'과 같이 펑키한 분위기의 곡도 있지만 전체적인 앨범 분위기는 로맨스 쪽이라 감성을 자극하는 멜로디라인이 인상 깊어요. 영화 보다도 더 마음과 귀가 먼저 반응하는 OST 앨범이 아닐까 해요. 높은 완성도와 훌륭한 가수들이 대거 참여해 정말 추천하고 싶은 앨범이예요."
