,album titles,artists,cleaned_sentences
10,Dear Schubert,신현필 & 고희안,신현필 고희 재즈 클래식 신현필 고희 재즈 탄생 클래식 무관 루이스 자크 루시 피아니스트 바흐 년대 연주 재즈 격식 클래식 만남 호불호 재즈 클래식 마리 토끼 마리 경우 본전 찾기 프로젝트 클래식 재즈 해석 작업 시도 색소포니스트 신현필 피아니스트 고희 듀오 프로젝트 애정 쇼팽 연주 오스트리아 천재 슈베르트 재즈 해석 발표 슈베르트 가곡 오페라 실내악 교향곡 주의 완성 낭만 주의 변화 베토벤 정신과 자로 생계 유지 최초 전업 세기 활약 낭만파 미국 이주 유대인 활약 틴팬 엘리 시대 성공 슈베르트 만날 가곡 송어 선율 신현필 테너 색소폰 성악가 소리 중반 등장 즉흥연주 물속 헤엄 송어 슈베르트 사랑 환상곡 드라마 밀회 김희애 유아인 연주 먼저 사랑 고백 캐롤라인 평생 독신 슈베르트 사망 개월 모던 인트 격정 연주가 인상 가을 첼로 피아노 주로 연주 신현필 고희 느낌 최대한 연주 가곡 왕답 겨울 나그네 마왕 백조 마지막 아베마리아 템포 연주 슈베르트 일생 비극 보지 아티스트 교향곡 미완성 선정 선정
11,Let Me Dive Into This Moment,이루리,이루리 그루브 사운드 바이 바이 배드 베이스 연주자 싱어송라이터 이루리 이루리 리더 밴드 서울 문과 이성경 이루리 듀오 병행 왕성 창작 주목 일련 활동 통해 성의 차별 캐릭터 소화 김혜미 아워즈 신혜미 챔피언스 트리오 시티 감성 사운드 매력 이성경 듀오 정서 위로 솔로 활동 연주 프로듀싱 멀티 플레이어 역량 유감 발휘 드라이브 복고 신스 사운드 조화 인상 무드 연출 서정 매력 신스 발라드 노을 그루브 베이스 연주 실력 순간 멜로디 감성 모던 발라드 트랙 스타 일리 퀄리티 완성 신스 모던 경계 그루브 사운드 매력 바이 바이 배드 그늘 독립 이루리 스타일 정체 공고 선정 선정
12,The Sandwich Artist,담예(DAMYE),담예 아티스트 존재 예의 일종 담론 아티스트 일상 단면 디테 아티스트 싱어송라이터 이자 래퍼 담예 후자 해당 인상 데뷔 통해 주제 번민 관해 알바생 아티스트 중첩 정체 비롯 퍼포먼스 프로덕션 성공 변화 전작 신예 답지 완성 감각 비중 알앤비 훵크 투신 색깔 담예 비롯 세션 연주가 하나로 엮어 전달 사운드 한국 블랙뮤직 만하 한편 주제 서사 범위 전보 밀도 공간 생계 해결 장소 샌드위치 가게 퇴근 후의 버스 간다 배경 아르바이트 웃기 상황 알바생 사랑 가족 일화 때론 위트 때론 무드 가사 퇴근길 묘사 퇴근길 사랑 가족 화기 애애 모습 과거 트라우마 현재 심경 토로 가족 라인 울림 예의 인지도 통해 아티스트 존재 한국 힙합 알앤비 통틀어 신예 선정 선정
13,OCEAN,SURVIVE,인물 성장 스토리 소리 제시 노력 다기 년생 김동건 인물 영향 표현 소리 나열 표현 전자음악 듣기 공존 결코 시선 해석 얘기 수록 일렉트로닉 조준 스타일 범위 신시사이저 베이스 그루브 발산 밴드 이동 댄스 본능 마음껏 마지막 트랙 포터 로빈슨 대동 마무리 년대 전자음악 쥐락펴락 일부 영웅 답례 덕분 영양분 정리 자세 인물 성장 스토리 기분 전달 재생 여운 선정 선정
14,"""그랬고, 그렇게 언제나""",텔레플라이(Telefly),텔레 플라이 무한 동경 텔레 플라이 블루스 애정 사이키델릭 향수 년대 무한 동경 본질 흐름 역설 과거 현시 제로 대수 텔레 플라이 행보 거슬러 크림 메이 앤드 블루스 브레이커 존경 노골 동양 사상 잔뜩 취한 기타로 무릉도원 밴드 사운드 관성 제나 제목 관성 강조 텔레 플라이 페이 결산 사운드 김인후 솔로 여유 주책 눈물 대표 트랙 만하 블루스 클래식 가요 감수성 혼재 그림자 언급 치기 압권 유니크 리듬 몰입 타이틀 트랙 워크맨 심혈 트랙 년대 사이키델릭 프로그레시브 오마주 김수환 플루트 연주가 리뷰 레퍼런스 김인후 배경 뒤편 좀처럼 전면 매력 여운 커버 디자인 선정 선정
15,Cheers For The Failures,메스그램(Messgram),메스그램 연주 밴드 메스그램 풀렝스 그간 메스그램 정규 풀렝스 데뷔 가능성 메스그램 포스트 하드코어 메탈 이모코어 얼터너티브 개성 추구 인트 적재적소 활용 신스 클린 그로울링 결합 구조 도식 수도 어차피 장르 도식 통한 퀄리티 승부 키다 메스그램 재료 배합 조리 일보 전진 다집 예시 연주 수록 증명 타이틀 넘버 스텝 박자 타고 지영 그루브 년대 초반 메탈 전성기 트렌디 마이 케미컬 로맨스 이모코어 감성 잔뜩 청취 그로울링 클린 조화 살짝 부분 멜로디 최고 환상 인트로힘 버스 코러스 트랙 라이브 위력 발휘 모던 헤비 니스 밴드 위용 간과 본질 대중성 모습 미래 마주 선정 선정
16,1,Deadbuttons (데드버튼즈),데드버튼즈 성공 데드버튼즈 변신 시작 독립 개체 데드버튼즈 의미 인조 출발 데드버튼즈 인조 밴드 치가 건반 주자 베이시스트 전형 밴드 포맷 연주가 출발 위기 세간 논쟁 필요 독립 선언 트랙리스트 예전 발표 버전 의문 굳이 기존 채운 트랙 질문 유예 결론 납득 시도 수록 공연 통해 세공 현재 모습 완성 탄생 기록 이자 데드버튼즈 밴드 진보 과정 아카이브 연대기 데드버튼즈 공연장 구입 먼저 인사 형식 녹음 이유 외피 트랙 직접 확인 재미 펑크 연주 환골탈태 소환 한결 여유 변모 획기 칼질 가해진 추가 에픽 블루 몽환 전체 절제 순간 다그 나이 경험 리라 절제 데드버튼즈 변신 성공 눈치 따윈 보지 고집 중심 자리 그간 데드버튼즈 사랑 라면 선정 선정
17,미술관,Lofibaby(로파이베이비),파이 베이비 여정 파이 베이비 미술관 프로듀서 싱어송라이터 세이 일렉트로닉 듀오 파이 베이비 예술 분야 융합 통한 독창 세계 주목 단편 소설 전시회 형식 공연 결합 창의 기획 호평 데뷔 엘범 공개 신작 미술관 제목 미술관 테마 다각 소개 안내 격인 도슨트 미술 기법 명칭 차용 유기 전개 구성은 미술관 공간 차례대로 관람 상상 더욱 트랙 미술 기법 특징 대변 노랫말 스타일 차별성 청각 감흥 상상력 조화 시도 전작 한층 창작 대목 사랑 감정 변화 기법 표현 스크래치 데칼코마니 크로키 전반 부가 인상 사랑 풍경화 발라드 수묵 수채 사뭇 감성 서사 스타일 트랙 콜라주 마무리 일렉트로닉 알앤비 사이 과감 장르 시도 미술관 컨셉트 구현 완성 더욱 예술 영역 확장 발전 듀오 여정 선정 선정
18,The Universal Want,Doves(도브스),도브스 도브스 번의 완벽주의자 예술가 라면 완벽주의자 결벽증 환자 완벽주의자 도브스 라면 밴드 명단 반대 도브스 장의 정규 포스트 브릿팝 드림팝 얼터너티브 자리 다집 년대 명반 리스트 심심 거론 평작 윗길 관점 수작 수도 수준 완성 편차 완벽주의자 신작 알림 멤버 시기 레코딩 투어 빡빡 스케줄 당사자 고통 밴드 과감 휴식 선포 당초 휴식 밴드 통해 발매 소식 밴드 통산 시장 정의 단위 도브스 미리 공개 도브스 멜랑콜리 몽환 사운드 표시 브스 다운 트랙 가을 비애 서정미 흉내 완벽주의자 모멘텀 조성 올해 가기 선정 선정
19,Live at Jazz First,고희안 트리오(KoHeean Trio),고희 트리오 라이브 채운 고희 트리오 얘기 음반 사지 시대 방식 듣기 전통 발매 아티스트 제작자 정도 희생 감수 대중 선택 재즈 아티스트 정규 발표 신념 확신 세상 재즈 코로나 시대 재즈 밴드 프렐류드 피아니스트 고희 프렐류드 시도 대중 선곡 국악 콜라보레이션 주목 재즈 피아니스트 라면 한시 재즈 시도 피아노 트리오 고희 트리오 발표 내지 욕심 피아니스트 재즈 스탠더드 연주 시작 삼청동 라이브 일기장 라이브 녹음 발표 신작 기록 일본 재즈 클럽 실황 발표 일본 재즈 지난 구마모토현 야츠시로 재즈 클럽 재즈 퍼스트 실황 작업 코딩 엔지니어 고희 트리오 사운드 재현 열광 멤버 용도 베이스 한웅 드럼 자리 수록 고희 구성 리듬 시작 연주 비밥 라인 폭발 인상 라이브 선정 선정
20,Gaslighter,The Chicks,건재 트리오 진가 데뷔 올해 활동 주년 딕시 칙스 만장 만장 판매 장의 다이아몬드 레코드 북미 만장 판매 그래미 트로피 수상 경력 명실 상부 최고 컨트리 트리오 평가 위기 시절 한창 절정 인기 부시 정부 이라크 침공 반대 소신 발언 비난 감수 방송국 블랙 리스트 활동 제약 역경 발매 판매량 이전 한참 이듬해 그래미 시상식 주요 부문 포함 관왕 수상한 그래미 역사 감동 장면 기억 정치 소신 발언 이유 대중 반응 적지 실망 허탈 딕시 칙스 공연 창작 활동 중단 공백기 딕시 칙스 파생 오해 소지 단어 과감 삭제 개명 무려 정규 컴백 과장 분위기 파퓰러 감성 싱글 분위기 달리 최근 이혼 아픔 리더 나탈리 마인 억제 분노 감정 주제 관통 타이틀곡 결혼 생활 기억 후유증 노골 가사 통해 더욱 명시 사적 맥락 마침내 건재 트리오 진가 확인 더욱 의미 정치 목소리 풍자 가사 세상 여성 진심 충고 조언 어머니 아들 사랑 개인 성격 주제 서사 청자 공감 밴조 우쿨렐레 첼로 바이올린 전적 악기 질감 협연 고풍 사운드 메이킹 완성 뒷받침 현재 영향력 프로듀서 안토노프 선택 입증 컨트리 장르 전통 미학 고수 현대 스타일 공백기 연대기 어가 역작 선정 선정
21,Lianne La Havas,Lianne La Havas(리앤 라 하바스),리앤 바스 사색 농도 아티스트 아픔 얄궂게 창작 원천 기도 알앤비 소울 주인공 리앤 바스 순간 맞이 사이 사랑 할머니 멘토 프린스 죽음 직면 연인 연인 아티스트 투어 작업 매진 사이사이 인연 시작 인간 리앤 바스 관통 공백 경험 현재 고스 본인 이름 제목 세운 개인 사랑 시작 이별 이별 사랑 시작 과정 심경 정제 시적 가사 표현 여운 전반 진행 전작 체감 거부 감흥 사운드 순간 순간 멜로디 프로덕션 원래 제목 상징 처음 배치 대표 아이작 헤이스 명곡 샘플링 연출 멜랑콜리 무드 동화 내일 사이 지면 사랑 바스 질문 참으로 사색 농도 선정 선정
22,SOUNDBWOY,DJ co.kr,데뷔 콘셉트 방향 년대 댄스 조준 디제이 데뷔 무게 당시 리듬 분위기 댄스 본능 기본 목적 소리 사운드 질감 자체 비교 한국 요소 재치 표현 열중쉬어 소스 반복 재생 열중쉬어 한국 술자리 장면 캐치 시작 영국 리듬 기반 감각 표현 구성은 한민 클럽 단골 요소 존재 데뷔 콘셉트 방향 댄스 일렉트로닉 다양성 확인 선정 선정
23,Just Coolin',Art Blakey & The Jazz Messengers(아트 블레이키 앤 더 재즈 메신저스),아트 레이키 재즈 메신저 하드밥 아티스트 블루노트 레코드 재즈 워킹 베이스 녹음 현장 드럼 소리 트럼펫 색소폰 블루노트 평생 죽마고우 세계대전 개발 모던 재즈 거장 등장 년대 발표 블루노트 고전 고전 캐논볼 아트 블래키 레이스 실버 소니 클락 행크 모블리 하드밥 아티스트 하드밥 사관학교 불리 본인 연주 후배 발굴 세운 아트 블래키 밴드 재즈 메신저 독보 피아니스트 레이스 실버 시작 아트 블래키 다그 사망 드럼 스틱 연주 장의 스튜디오 장의 라이브 재즈 메신저 이름 발표 생전 발표 공개 아트 블래키 재즈 메신저 공개 트랙 발굴 이란 타이틀 처음 공개 뉴저지 루디 겔더 거실 스튜디오 명반 녹음 뉴욕 재즈 클럽 버드 랜드 실황 녹음 전이 재즈 메신저 라인업 테너 색소폰 베니 골슨 행크 모블리 연주 재즈 메신저 자리 잡지 전인 색소폰 연주 원년 멤버 버드 랜드 연주 명반 스튜디오 버전 과언 녹음 임팩트 워낙 사운드 아트 블래키 드럼 관악기 행크 모블리 모던 연주 명불허전 행크 모블리 리도 타이틀 한참 지난 발굴 음원 경우 연주자 구성 녹음 결함 경우 간혹 이유 창고 정도 아트 블래키 재즈 메신저 모습 선정 선정
24,가로사옥,KHUNDI PANDA,빈틈 허용 쿤디판다 가로 사옥 장르 이건 아티스트 평균 퍼포먼스 수준 가치 오늘날 인기 방편 사형선고 마찬가지 커리어 우위 이름 길이 방편 기술 한국 힙합 쿤디판다 그로 언급 양질 덕분 믹스 테입 쾌락 설계도 시작 프로듀서 비앙 합작 재건축 지나 솔로 가로 사옥 쿤디판다 품세 설계 구축 능력 보통 호평 가사 대부분 구체 주제 내적인 영역 집중 범세계 거나 외적인 영역 확장 가로 사옥 가사 쿤디판다 오디션 쇼미더머니 헤게모니 래인 한국 힙합 현재 본인 마냥 거부 모순 사회 이면 작업 확장 쇼미더머니 힙합 커뮤니티 인터넷 게시판 중심 자리 노출 한국 힙합 기형 왜곡 단면 중심 투영 특정 래퍼 애증 메시지 코마 특징 하이라이트 넘버 도무지 빈틈 허용 옹골 래핑 비앙 비롯 여러 프로듀서 비트 서사 메시지 더욱 설득 효과 부각 한국 힙합 래퍼 통해 증명 쿤디판다 래퍼 가로 사옥 결정 증거 선정 선정
25,B.B.H.E.,Hudson Mohawke,허드슨 호크 자체 듀오 활동 고려 정산 참작 무려 등장 정규 골격 웡키 트랩 구사 장르 경계 허문 다우 리가 허드슨 호크 자체 특이점 라면 사운드 자체 미래 지향 느낌 변모 부분 부각 의도 대중 분위기 전개 등장 반전 장면 대중음악 소스 구성 꾸리 달린다 재료 그루브 특기 전작 대비 정도 멜로디 거세 비트 중심 사운드 절로 클럽 무대 구관 명관임 확인 흥미 선정 선정
26,Such Pretty Forks in the Road,Alanis Morissette(앨라니스 모리셋),니스 리셋 연륜 공력 니스 리셋 수도 년대 중반 니스 리셋 정상 발표 원래 그간 니스 어덜트 컨템포러리 세상 년대 니스 인기 판매 멀리 본인 산후 우울증 매니저 횡령 사건 비롯 여러 두운 주제 재의 연쇄 완성 발매 시기 조율 시점 코로나 사태 연달 법인 고통 창작 분노 절제 이나 트랙 대표 대중 긍정 기운 에너지 포착 과장 허세 니스 지향 지점 시절 락커 내면 주변 연륜 공력 개인 테일러 스위프트 가사 수긍 공감 강점 선정 선정
27,Women In Music Pt. III,HAIM(하임),하임 세자매 협연 올해 최고 대작 캘리포니아 출신 세자매 밴드 하임 신작 전작 통해 매스컴 대중 규정 여성 밴드 선입견 도전 의지 출발 감성 에너지 대변 밴드 정체 성은 전반 두운 분위기 변화 동반 사색 사운드 한층 무게 상치 색소폰 인트로 그루브 힙합 비트 정겨운 로딕 오프닝 트랙 장르 양식 맛깔 센스 장르 차용 실험 댄스 트랙 년대 훵크 알앤비 스타일 능청 소화 영감 로맨틱 퓨전 한층 장르 스펙트럼 진화 대변 셰릴 크로우 조니 미첼 토리 에이 모스 감성 리드 샘플링 영향 선배 뮤지션 존경심 재치 창작 치환 세자매 협연 인상 베이스 활약 후반 사이키델릭 리프 압권 기존 정겨운 감성 어가 연주 묘미 향상 메뉴 아이디어 충만 모방 창조 영역 년대 레트로 가능성 제시 세자매 밴드 행보 간다 선정 선정
28,Dinner Party,Terrace Martin(테라스 마틴) & Robert Glasper(로버트 글래스퍼) & 9th Wonder & Kamasi Washington(카마시 워싱턴),테라스 마틴 로버트 글래스 카마 워싱턴 아티스트 블랙뮤직 슈퍼 그룹 결성 디너 파티 경우 각별 연주자 프로듀서 로만 구성 훵크 대표 웨스트코스트 힙합 사운드 재즈 소울 스펙트럼 테레스 마틴 네오 소울 재즈 힙합 커리어 로버트 글래스 년대 언더그라운드 힙합 아이콘 명인 샘플링 나인 원더 전통 고수 실험 경계 획기 색소포니스트 카마 워싱턴 블랙뮤직 거장 마틴 워싱턴 색소폰 글래스 건반 나인 원더 전반 프로덕션 재능 싱어송라이터 폴릭스 피처링 보탰다 멤버 면면 획기 스타일 예상 무난 데뷔 실망 그룹 파티 힌트 원더 드럼 루프 조합 멍석 멤버 연주 가운데 폴릭스 파티 호스트 흐름 연주 일부 감흥 더욱 아티스트 블랙뮤직 리스닝 선정 선정
29,RoundAgain,Joshua Redman(조슈아 레드맨) & Brad Mehldau(브래드 멜다우) & Christian McBride(크리스찬 맥브라이드) & Brian Blade(브라이언 블레이드),조슈아 레드맨 브래드 크리스찬 브라 이드 브라이언 블레이드 재즈 역사 거장 색소포니스트 조슈아 레드맨 일당백 동료 발표 조슈아 레드맨 브래드 크리스찬 브라 이드 브라이언 블레이드 리더 활동 재즈 역사 거장 리더 조슈아 레드맨 발표 멤버 재결합 계속 상상 본격 아이디어 전개 아티스트 스케줄 조정 의치 작업 궤도 진행 공연 작업 올해 세계 곳곳 만날 콘서트 예정 코로나 상태 불교 용어 윤회 운명 연주 모습 설명 과도 어감 재결합 결정 조슈아 레드맨 이름 브래드 연주 선율 인생 스윙 패턴 질주 제목 카트 윙스 착각 조슈아 레드맨 크리스천 브라 이드 그루브 매력 정도 추측 유물 플로 디스크 크리스찬 브라 이드 연주가 몽크 브래드 조슈아 레드맨 소프라노 색소폰 연주 마지막 브라이언 블레이드 사운드 연출 고음 저음 테너 색소폰 프리 연주 드럼 전통 재즈 퓨전 소리 윤회 글자 연주 선정 선정
30,"속꿈, 속꿈",신해경,해경 정서 문학 서사 해경 대중음악 과거 영향 창조 제한 과거 장르 양식 답습 현대 독창 방식 해석 가늠 기준 마이 블러디 발렌타인 드림 슈게이징 사운드 유재하 감성 대변 년대 한국 대중음악 정서 거기 시인 문학 서사 해경 재창 조의 다년 정규 전작 트랙 화학평형 여운 내러티브 회상 통해 시공간 흐름 인상 시작 제목 예상 달리 펑크 리프 분위기 반전 인상 일전 영향 클래쉬 창의 오마주 새삼 감탄 멜랑콜리 감성 슬로 코어 트랙 독백 실험 슈게이징 사운드 연주 접몽 왈츠 리듬 로딕 조화 로맨틱 분위기 크로커스 절제 파격 해경 유니크 세계 체험 몽환 격정 서정 교차 발라드 부작 그대 천연색 그대 꿈결 계절 팝송 수식어 순간 연출 몽롱 상반 이미지 조절 밸런스 통해 유기 장대 서사 완성 명제 증명 수작 선정 선정
31,4,펜토(Pento),펜토 도약 성공 쇼미더머니 한국 힙합 헤게모니 급속도 잊힌 래퍼 살롱 소울 컴퍼니 오버클래스 집단 펜토 개성 스타일 주관 프로덕션 평단 마니아 호평 과거 일부 펜토 정규 더욱 위로 무려 프로덕션 기조 거치 본격 일렉트로닉 융합 간다 소리 해체 조합 강도 성은 힙합 전형 장르 문법 시도 가사 펜토 커리어 통틀어 개인 직접 연인 심경 토로 가운데 주류 래퍼 상실 라인 동대문 여기저기 친구 기분 자존감 미아 울림 서로 모든 도의 여운 살롱 재결합 한국 힙합 트렌드 얽매 과감 시도 아티스트 의미 펜토 도약 성공 선정 선정
32,What's Your Pleasure?,Jessie Ware(제시 웨어),제시 웨어 복원 디스코 올해 등장 가정 확언 영미 매체 만점 점수 부여 유저 점수 사이트 올해 기록 중이 우리나라 나이 제시 웨어 정규 터트렸다 대중 비평 기립 이유 년대 디스코 복원 굳이 장르 구분 디스코 디스코 속도 집중 현악 동원 도나 섬머 리듬 무대 송가 정립 감정 선사 디스코 디스코 변주 시점 등장 장르 완성 년대 선물 마찬가지 작업 기간 선정 선정
